"MEDICAL SUPPLIES","H", , , , , ,"90", ,"400058", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"90", ,"347290", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"90", ,"26561", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"90", ,"7901", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"90", ,"24754", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"90", ,"85388", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"90", ,"337380", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"90", ,"5619", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"90", ,"1219", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"90", ,"4312", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"90", ,"15439", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"90", ,"6584", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"90", ,"129531", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"91", ,"1782798", , , , , , , , , , 
"MEDICAL SUPPLIES","H", , , , , ,"95", ,"7558", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A6000I0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A6000I0[00000])","Entity[563455] Report(A6000I0[00100])", ,"Entity[563455] Report(A6000I0[00300])","Entity[563455] Report(A6000I0[00400])","Entity[563455] Report(A6000I0[00500])", ,"Entity[563455] Report(A6000I0[00700])","Entity[563455] Report(A6000I0[00800])","Entity[563455] Report(A6000I0[00900])", , , , , , , , , , 
"ROUTINE LABOR AND DELIVERY","I", ,"30","460882","87887", ,"52","460882","87887", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A6000J0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A6000J0[00000])","Entity[563455] Report(A6000J0[00100])", ,"Entity[563455] Report(A6000J0[00300])", ,"Entity[563455] Report(A6000J0[00500])", ,"Entity[563455] Report(A6000J0[00700])", ,"Entity[563455] Report(A6000J0[00900])","Entity[563455] Report(A6000J0[01000])", , , , , , , , , 
"EQUIPMENT RENTAL","J", ,"2", ,"18594115", ,"5", ,"1852","10", , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"5", ,"833729", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"6", ,"18742", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"7", ,"836", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"9", ,"719", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"10", ,"125292", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"13", ,"25375", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"16", ,"500", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"17", ,"77381", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"21", ,"9348", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"22", ,"2197", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"23", ,"4778", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"30", ,"695577", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"31", ,"188464", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"32", ,"248932", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"35", ,"1535", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"35", ,"89638", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"40", ,"3593", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"41", ,"8517", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"44", ,"46419", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"50", ,"1647663", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"51", ,"10751", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"52", ,"247570", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"53", ,"284062", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"54", ,"2593215", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"54", ,"344526", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"54", ,"611881", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"54", ,"386218", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"54", ,"1801", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"55", ,"111777", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"57", ,"1628269", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"58", ,"1022561", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"59", ,"1371233", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"60", ,"492157", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"63", ,"24294", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"64", ,"31596", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"65", ,"164963", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"66", ,"21897", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"68", ,"332", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"69", ,"448004", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"70", ,"414", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"71", ,"392036", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"73", ,"1802463", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"74", ,"9783", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"75", ,"9618", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"75", ,"1174", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"75", ,"579849", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"75", ,"108", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"75", ,"29289", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"50", ,"132509", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"90", ,"1854", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"90", ,"21655", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"90", ,"49237", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"90", ,"9195", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"90", ,"11033", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"90", ,"22064", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"90", ,"111804", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"90", ,"21486", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"90", ,"31817", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"90", ,"11202", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"90", ,"22466", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"90", ,"1457", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"90", ,"17390", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"90", ,"176181", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"90", ,"8608", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"90", ,"5982", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"90", ,"12823", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"90", ,"49962", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"90", ,"5812", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"90", ,"5165", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"90", ,"470", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"90", ,"1368", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"90", ,"5571", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"90", ,"18017", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"90", ,"74884", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"91", ,"130988", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"95", ,"2680", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"112", ,"4836", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"192", ,"7514", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"194", ,"32702", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"194", ,"2135", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"194", ,"1662", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"194", ,"4290", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"194", ,"705845", , , , , , , , , , 
"EQUIPMENT RENTAL","J", , , , , ,"194", ,"218523", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A6000K0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A6000K0[00000])","Entity[563455] Report(A6000K0[00100])", ,"Entity[563455] Report(A6000K0[00300])","Entity[563455] Report(A6000K0[00400])","Entity[563455] Report(A6000K0[00500])", ,"Entity[563455] Report(A6000K0[00700])","Entity[563455] Report(A6000K0[00800])","Entity[563455] Report(A6000K0[00900])", , , , , , , , , , 
"RADIOLOGY","K", ,"58","32168","16726", ,"54","156315","92247", , , , , , , , , , 
"RADIOLOGY","K", ,"57","35539","25361", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"54","9582","16780", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"54","6863","12019", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"54","11262","3334", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"90","817","242", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"90","1444","427", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"90","4360","1291", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"90","2203","652", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"90","889","263", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"90","2122","628", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"90","3849","1139", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"90","4547","1346", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"90","3334","987", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"90","2252","667", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"90","4587","1358", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"90","681","202", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"90","2176","644", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"90","17225","5099", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"90","2142","634", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"90","485","143", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"90","928","275", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"90","2261","669", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"90","686","203", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"90","57","17", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"90","66","19", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"90","644","191", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"90","173","51", , , , , , , , , , , , , , 
"RADIOLOGY","K", ,"90","2973","880", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A6000M0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A6000M0[00000])","Entity[563455] Report(A6000M0[00100])", ,"Entity[563455] Report(A6000M0[00300])","Entity[563455] Report(A6000M0[00400])","Entity[563455] Report(A6000M0[00500])", ,"Entity[563455] Report(A6000M0[00700])","Entity[563455] Report(A6000M0[00800])","Entity[563455] Report(A6000M0[00900])", , , , , , , , , , 
"PHARMACY ALLIED","M", ,"23","472855","71896", ,"73","138128","22618", , , , , , , , , , 
"PHARMACY ALLIED","M", , , , , ,"194","315881","45429", , , , , , , , , , 
"PHARMACY ALLIED","M", , , , , ,"90","18846","3849", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A6000N0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A6000N0[00000])","Entity[563455] Report(A6000N0[00100])", ,"Entity[563455] Report(A6000N0[00300])","Entity[563455] Report(A6000N0[00400])","Entity[563455] Report(A6000N0[00500])", ,"Entity[563455] Report(A6000N0[00700])","Entity[563455] Report(A6000N0[00800])","Entity[563455] Report(A6000N0[00900])", , , , , , , , , , 
"CLINIC PASTORAL ED","N", ,"5","482003","149247", ,"23","482003","149247", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A6000O0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A6000O0[00000])","Entity[563455] Report(A6000O0[00100])", ,"Entity[563455] Report(A6000O0[00300])","Entity[563455] Report(A6000O0[00400])","Entity[563455] Report(A6000O0[00500])", ,"Entity[563455] Report(A6000O0[00700])","Entity[563455] Report(A6000O0[00800])","Entity[563455] Report(A6000O0[00900])", , , , , , , , , , 
"ALLOWABLE PRE TRANSPLANT","O", ,"105","3491783","1276810", ,"112","671835","1164957", , , , , , , , , , 
"ALLOWABLE PRE TRANSPLANT","O", ,"107","2510284","359340", ,"5","91918","13729", , , , , , , , , , 
"ALLOWABLE PRE TRANSPLANT","O", ,"106","1658956","370828", ,"194","117773","15567", , , , , , , , , , 
"ALLOWABLE PRE TRANSPLANT","O", ,"108","328931","75700", ,"194","4861554","500627", , , , , , , , , , 
"ALLOWABLE PRE TRANSPLANT","O", ,"109","299174","51858", ,"90","933835","167737", , , , , , , , , , 
"ALLOWABLE PRE TRANSPLANT","O", ,"60","23976","41574", ,"90","418861","72826", , , , , , , , , , 
"ALLOWABLE PRE TRANSPLANT","O", , , , , ,"90","124642","20545", , , , , , , , , , 
"ALLOWABLE PRE TRANSPLANT","O", , , , , ,"90","486885","100649", , , , , , , , , , 
"ALLOWABLE PRE TRANSPLANT","O", , , , , ,"90","605801","119473", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A6000Q0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A6000Q0[00000])","Entity[563455] Report(A6000Q0[00100])", ,"Entity[563455] Report(A6000Q0[00300])","Entity[563455] Report(A6000Q0[00400])","Entity[563455] Report(A6000Q0[00500])", ,"Entity[563455] Report(A6000Q0[00700])","Entity[563455] Report(A6000Q0[00800])","Entity[563455] Report(A6000Q0[00900])", , , , , , , , , , 
"PHYSICIAN PART A","Q", ,"22","29786729","2631321", ,"194","45459267","3985073", , , , , , , , , , 
"PHYSICIAN PART A","Q", ,"23","326260","19084", , , , , , , , , , , , , , 
"PHYSICIAN PART A","Q", ,"30","4360636","530121", , , , , , , , , , , , , , 
"PHYSICIAN PART A","Q", ,"40","108252","19292", , , , , , , , , , , , , , 
"PHYSICIAN PART A","Q", ,"41","165344","5349", , , , , , , , , , , , , , 
"PHYSICIAN PART A","Q", ,"50","1427936","91302", , , , , , , , , , , , , , 
"PHYSICIAN PART A","Q", ,"52","321382","16986", , , , , , , , , , , , , , 
"PHYSICIAN PART A","Q", ,"53","1762141","128271", , , , , , , , , , , , , , 
"PHYSICIAN PART A","Q", ,"54","1765929","116572", , , , , , , , , , , , , , 
"PHYSICIAN PART A","Q", ,"58","340513","22478", , , , , , , , , , , , , , 
"PHYSICIAN PART A","Q", ,"57","456164","30112", , , , , , , , , , , , , , 
"PHYSICIAN PART A","Q", ,"54","395096","26081", , , , , , , , , , , , , , 
"PHYSICIAN PART A","Q", ,"54","238682","15756", , , , , , , , , , , , , , 
"PHYSICIAN PART A","Q", ,"54","247341","16327", , , , , , , , , , , , , , 
"PHYSICIAN PART A","Q", ,"75","2762","182", , , , , , , , , , , , , , 
"PHYSICIAN PART A","Q", ,"55","54476","2860", , , , , , , , , , , , , , 
"PHYSICIAN PART A","Q", ,"60","1453244","139209", , , , , , , , , , , , , , 
"PHYSICIAN PART A","Q", ,"54","225621","14894", , , , , , , , , , , , , , 
"PHYSICIAN PART A","Q", ,"91","1390815","134934", , , , , , , , , , , , , , 
"PHYSICIAN PART A","Q", ,"30","629944","23942", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A6000R0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A6000R0[00000])","Entity[563455] Report(A6000R0[00100])", ,"Entity[563455] Report(A6000R0[00300])", ,"Entity[563455] Report(A6000R0[00500])", ,"Entity[563455] Report(A6000R0[00700])", ,"Entity[563455] Report(A6000R0[00900])","Entity[563455] Report(A6000R0[01000])", , , , , , , , , 
"INTEREST EXPENSE RECLASS","R", ,"1", ,"24475116", ,"113", ,"30844983","11", , , , , , , , , 
"INTEREST EXPENSE RECLASS","R", ,"2", ,"717254", , , , ,"11", , , , , , , , , 
"INTEREST EXPENSE RECLASS","R", ,"5", ,"3170838", , , , , , , , , , , , , , 
"INTEREST EXPENSE RECLASS","R", ,"194", ,"2481775", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A6000U0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A6000U0[00000])","Entity[563455] Report(A6000U0[00100])", ,"Entity[563455] Report(A6000U0[00300])", ,"Entity[563455] Report(A6000U0[00500])", ,"Entity[563455] Report(A6000U0[00700])", ,"Entity[563455] Report(A6000U0[00900])","Entity[563455] Report(A6000U0[01000])", , , , , , , , , 
"RESEARCH BUILDING DEPRECIATION","U", ,"1", ,"509983", ,"1", ,"509983","9", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A6000V0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A6000V0[00000])","Entity[563455] Report(A6000V0[00100])", ,"Entity[563455] Report(A6000V0[00300])", ,"Entity[563455] Report(A6000V0[00500])", ,"Entity[563455] Report(A6000V0[00700])", ,"Entity[563455] Report(A6000V0[00900])","Entity[563455] Report(A6000V0[01000])", , , , , , , , , 
"ELMWOOD BUILDING DEPRECIATION","V", ,"1", ,"1273695", ,"1", ,"1273695","9", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A6000W0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A6000W0[00000])","Entity[563455] Report(A6000W0[00100])", ,"Entity[563455] Report(A6000W0[00300])", ,"Entity[563455] Report(A6000W0[00500])", ,"Entity[563455] Report(A6000W0[00700])", ,"Entity[563455] Report(A6000W0[00900])","Entity[563455] Report(A6000W0[01000])", , , , , , , , , 
"FOUNDATION BUILDING DEPRECIATION","W", ,"194", ,"8061578", ,"1", ,"8061578","9", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A6000X0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A6000X0[00000])","Entity[563455] Report(A6000X0[00100])", ,"Entity[563455] Report(A6000X0[00300])", ,"Entity[563455] Report(A6000X0[00500])", ,"Entity[563455] Report(A6000X0[00700])", ,"Entity[563455] Report(A6000X0[00900])", , , , , , , , , , 
"NURSING EDUC AND RESEARCH","X", ,"5", ,"17613", ,"13", ,"17613", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A6000Z0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A6000Z0[00000])","Entity[563455] Report(A6000Z0[00100])", ,"Entity[563455] Report(A6000Z0[00300])", ,"Entity[563455] Report(A6000Z0[00500])", ,"Entity[563455] Report(A6000Z0[00700])", ,"Entity[563455] Report(A6000Z0[00900])", , , , , , , , , , 
"CLINIC OVERHEAD","Z", ,"5", ,"55261", ,"194", ,"450135", , , , , , , , , , 
"CLINIC OVERHEAD","Z", ,"6", ,"394874", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A600AA0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
