"MEDICAL SUPPLIES","M", , , , , ,"60", ,"817", , , , , , , , , , 
"MEDICAL SUPPLIES","M", , , , , ,"63", ,"12691", , , , , , , , , , 
"MEDICAL SUPPLIES","M", , , , , ,"65", ,"1853", , , , , , , , , , 
"MEDICAL SUPPLIES","M", , , , , ,"66", ,"200", , , , , , , , , , 
"MEDICAL SUPPLIES","M", , , , , ,"69", ,"3869391", , , , , , , , , , 
"MEDICAL SUPPLIES","M", , , , , ,"70", ,"7865", , , , , , , , , , 
"MEDICAL SUPPLIES","M", , , , , ,"74", ,"13087", , , , , , , , , , 
"MEDICAL SUPPLIES","M", , , , , ,"76", ,"21780", , , , , , , , , , 
"MEDICAL SUPPLIES","M", , , , , ,"90", ,"154544", , , , , , , , , , 
"MEDICAL SUPPLIES","M", , , , , ,"91", ,"245428", , , , , , , , , , 
"MEDICAL SUPPLIES","M", , , , , ,"92", ,"3630", , , , , , , , , , 
"MEDICAL SUPPLIES","M", , , , , ,"94", ,"65", , , , , , , , , , 
"MEDICAL SUPPLIES","M", , , , , ,"191", ,"3587", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000N0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000N0[00000])","Entity[572875] Report(A6000N0[00100])", ,"Entity[572875] Report(A6000N0[00300])", ,"Entity[572875] Report(A6000N0[00500])", ,"Entity[572875] Report(A6000N0[00700])", ,"Entity[572875] Report(A6000N0[00900])", , , , , , , , , , 
"IMPLANTABLE DEVICES","N", ,"72", ,"32134230", ,"18", ,"204876", , , , , , , , , , 
"IMPLANTABLE DEVICES","N", , , , , ,"50", ,"14448233", , , , , , , , , , 
"IMPLANTABLE DEVICES","N", , , , , ,"53", ,"32813", , , , , , , , , , 
"IMPLANTABLE DEVICES","N", , , , , ,"54", ,"2813071", , , , , , , , , , 
"IMPLANTABLE DEVICES","N", , , , , ,"55", ,"40013", , , , , , , , , , 
"IMPLANTABLE DEVICES","N", , , , , ,"58", ,"22801", , , , , , , , , , 
"IMPLANTABLE DEVICES","N", , , , , ,"59", ,"4683285", , , , , , , , , , 
"IMPLANTABLE DEVICES","N", , , , , ,"69", ,"5184247", , , , , , , , , , 
"IMPLANTABLE DEVICES","N", , , , , ,"76", ,"4703508", , , , , , , , , , 
"IMPLANTABLE DEVICES","N", , , , , ,"90", ,"1383", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000O0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000O0[00000])","Entity[572875] Report(A6000O0[00100])", ,"Entity[572875] Report(A6000O0[00300])", ,"Entity[572875] Report(A6000O0[00500])", ,"Entity[572875] Report(A6000O0[00700])", ,"Entity[572875] Report(A6000O0[00900])", , , , , , , , , , 
"PHARMACY CHARGES","O", ,"15", ,"109638972", ,"5", ,"143075", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"5", ,"334", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"9", ,"22", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"14", ,"376", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"18", ,"3656", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"21", ,"13798", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"30", ,"685", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"31", ,"31", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"32", ,"49", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"33", ,"72", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"34", ,"31", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"35", ,"366", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"50", ,"9633214", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"51", ,"72761", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"53", ,"2471200", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"54", ,"1310994", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"55", ,"26895", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"55", ,"2352", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"57", ,"701529", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"58", ,"904107", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"59", ,"1111197", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"60", ,"196256", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"63", ,"93896", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"65", ,"2057", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"66", ,"937", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"69", ,"146261", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"70", ,"113", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"73", ,"63292294", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"74", ,"354088", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"76", ,"29106", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"77", ,"146", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"90", ,"10370667", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"91", ,"5119", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"92", ,"9", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"94", ,"110050", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"108", ,"965", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"110", ,"22486", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"112", ,"67807", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"190", ,"18548902", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"191", ,"8", , , , , , , , , , 
"PHARMACY CHARGES","O", , , , , ,"191", ,"1061", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000P0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000P0[00000])","Entity[572875] Report(A6000P0[00100])", ,"Entity[572875] Report(A6000P0[00300])","Entity[572875] Report(A6000P0[00400])", , ,"Entity[572875] Report(A6000P0[00700])","Entity[572875] Report(A6000P0[00800])", , , , , , , , , , , 
"ANCILLARY I & R SALARY","P", ,"21","4542380", , ,"53","4542380", , , , , , , , , , , 
"ANCILLARY I & R SALARY","P", ,"21","2314347", , ,"54","2314347", , , , , , , , , , , 
"ANCILLARY I & R SALARY","P", ,"21","100583", , ,"55","100583", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000Q0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000Q0[00000])","Entity[572875] Report(A6000Q0[00100])", ,"Entity[572875] Report(A6000Q0[00300])", ,"Entity[572875] Report(A6000Q0[00500])", ,"Entity[572875] Report(A6000Q0[00700])", ,"Entity[572875] Report(A6000Q0[00900])", , , , , , , , , , 
"ANCILLARY I & R FRINGE BENEFITS","Q", ,"21", ,"1042930", ,"53", ,"1042930", , , , , , , , , , 
"ANCILLARY I & R FRINGE BENEFITS","Q", ,"21", ,"531374", ,"54", ,"531374", , , , , , , , , , 
"ANCILLARY I & R FRINGE BENEFITS","Q", ,"21", ,"23094", ,"55", ,"23094", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000R0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000R0[00000])","Entity[572875] Report(A6000R0[00100])", ,"Entity[572875] Report(A6000R0[00300])","Entity[572875] Report(A6000R0[00400])", , ,"Entity[572875] Report(A6000R0[00700])","Entity[572875] Report(A6000R0[00800])", , , , , , , , , , , 
"FELLOWS SALARY","R", ,"21","734539", , ,"70","329931", , , , , , , , , , , 
"FELLOWS SALARY","R", , , , , ,"76","266140", , , , , , , , , , , 
"FELLOWS SALARY","R", , , , , ,"90","138468", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000S0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000S0[00000])","Entity[572875] Report(A6000S0[00100])", ,"Entity[572875] Report(A6000S0[00300])", ,"Entity[572875] Report(A6000S0[00500])", ,"Entity[572875] Report(A6000S0[00700])", ,"Entity[572875] Report(A6000S0[00900])", , , , , , , , , , 
"FELLOWS OTHER EXPENSE","S", ,"21", ,"168650", ,"70", ,"75752", , , , , , , , , , 
"FELLOWS OTHER EXPENSE","S", , , , , ,"76", ,"61106", , , , , , , , , , 
"FELLOWS OTHER EXPENSE","S", , , , , ,"90", ,"31792", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000T0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000T0[00000])","Entity[572875] Report(A6000T0[00100])", ,"Entity[572875] Report(A6000T0[00300])","Entity[572875] Report(A6000T0[00400])", , ,"Entity[572875] Report(A6000T0[00700])","Entity[572875] Report(A6000T0[00800])", , , , , , , , , , , 
"GME CONSIST #1 SALARY","T", ,"5","1704693", , ,"21","1704693", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000U0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000U0[00000])","Entity[572875] Report(A6000U0[00100])", ,"Entity[572875] Report(A6000U0[00300])", ,"Entity[572875] Report(A6000U0[00500])", ,"Entity[572875] Report(A6000U0[00700])", ,"Entity[572875] Report(A6000U0[00900])", , , , , , , , , , 
"GME CONSIST #1 OTHER EXPENSE","U", ,"5", ,"639658", ,"21", ,"639601", , , , , , , , , , 
"GME CONSIST #1 OTHER EXPENSE","U", , , , , ,"90", ,"57", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000V0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000V0[00000])","Entity[572875] Report(A6000V0[00100])", ,"Entity[572875] Report(A6000V0[00300])","Entity[572875] Report(A6000V0[00400])", , ,"Entity[572875] Report(A6000V0[00700])","Entity[572875] Report(A6000V0[00800])", , , , , , , , , , , 
"GME CONSIST #2 SALARY","V", ,"22","32303", , ,"53","32303", , , , , , , , , , , 
"GME CONSIST #2 SALARY","V", ,"22","244517", , ,"54","434440", , , , , , , , , , , 
"GME CONSIST #2 SALARY","V", ,"22","434440", , ,"55","136564", , , , , , , , , , , 
"GME CONSIST #2 SALARY","V", ,"22","136564", , ,"60","244517", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000W0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000W0[00000])","Entity[572875] Report(A6000W0[00100])", ,"Entity[572875] Report(A6000W0[00300])", ,"Entity[572875] Report(A6000W0[00500])", ,"Entity[572875] Report(A6000W0[00700])", ,"Entity[572875] Report(A6000W0[00900])", , , , , , , , , , 
"GME CONSIST #2 OTHER EXPENSE","W", ,"22", ,"12120", ,"53", ,"12120", , , , , , , , , , 
"GME CONSIST #2 OTHER EXPENSE","W", ,"22", ,"91743", ,"54", ,"163002", , , , , , , , , , 
"GME CONSIST #2 OTHER EXPENSE","W", ,"22", ,"163002", ,"55", ,"51239", , , , , , , , , , 
"GME CONSIST #2 OTHER EXPENSE","W", ,"22", ,"51239", ,"60", ,"91743", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000X0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000X0[00000])","Entity[572875] Report(A6000X0[00100])", ,"Entity[572875] Report(A6000X0[00300])", ,"Entity[572875] Report(A6000X0[00500])", ,"Entity[572875] Report(A6000X0[00700])", ,"Entity[572875] Report(A6000X0[00900])", , , , , , , , , , 
"GME CONSIST #3","X", ,"22", ,"11001", ,"53", ,"11001", , , , , , , , , , 
"GME CONSIST #3","X", ,"22", ,"120220", ,"60", ,"120220", , , , , , , , , , 
"GME CONSIST #3","X", ,"22", ,"56384", ,"54", ,"56384", , , , , , , , , , 
"GME CONSIST #3","X", ,"22", ,"22080", ,"55", ,"22080", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000Y0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000Y0[00000])","Entity[572875] Report(A6000Y0[00100])", ,"Entity[572875] Report(A6000Y0[00300])","Entity[572875] Report(A6000Y0[00400])", , ,"Entity[572875] Report(A6000Y0[00700])","Entity[572875] Report(A6000Y0[00800])", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", ,"22","18048615", , ,"4","62612", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"5","34336", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"5","38776", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"5","846176", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"5","1720675", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"16","2895", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"17","8646", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"18","10214", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"18","5503625", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"21","816073", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"30","477750", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"35","11808", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"50","153424", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"52","207615", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"53","20289", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"59","32708", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"60","119207", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"70","50671", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"74","65534", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"76","226201", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"77","3690", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"90","7243910", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"91","38948", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"94","9965", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"105","103941", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"106","17117", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"107","37545", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"108","10558", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"109","4899", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"190","71339", , , , , , , , , , , 
"TEFRA TEACHING SALARY","Y", , , , , ,"191","97468", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A6000Z0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A6000Z0[00000])","Entity[572875] Report(A6000Z0[00100])", ,"Entity[572875] Report(A6000Z0[00300])", ,"Entity[572875] Report(A6000Z0[00500])", ,"Entity[572875] Report(A6000Z0[00700])", ,"Entity[572875] Report(A6000Z0[00900])", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", ,"22", ,"8083976", ,"4", ,"28044", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"5", ,"15379", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"5", ,"17368", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"5", ,"379002", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"5", ,"770690", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"16", ,"1297", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"17", ,"3873", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"18", ,"4575", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"18", ,"2465074", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"21", ,"365519", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"30", ,"213984", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"35", ,"5289", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"50", ,"68719", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"52", ,"92991", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"53", ,"9087", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"59", ,"14650", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"60", ,"53393", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"70", ,"22696", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"74", ,"29353", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"76", ,"101315", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"77", ,"1653", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"90", ,"3244547", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"91", ,"17445", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"94", ,"4463", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"105", ,"46555", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"106", ,"7667", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"107", ,"16816", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"108", ,"4729", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"109", ,"2194", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"190", ,"31953", , , , , , , , , , 
"TEFRA TEACHING OTHER EXPENSE","Z", , , , , ,"191", ,"43656", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600AA0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600AA0[00000])","Entity[572875] Report(A600AA0[00100])", ,"Entity[572875] Report(A600AA0[00300])","Entity[572875] Report(A600AA0[00400])", , ,"Entity[572875] Report(A600AA0[00700])","Entity[572875] Report(A600AA0[00800])", , , , , , , , , , , 
"TEFRA TIME SALARY","AA", ,"4","28636", , ,"5","123018", , , , , , , , , , , 
"TEFRA TIME SALARY","AA", ,"5","11040", , ,"14","67452", , , , , , , , , , , 
"TEFRA TIME SALARY","AA", ,"5","12468", , ,"21","23448517", , , , , , , , , , , 
"TEFRA TIME SALARY","AA", ,"5","765716", , ,"30","173097", , , , , , , , , , , 
"TEFRA TIME SALARY","AA", ,"16","4984", , ,"50","613153", , , , , , , , , , , 
"TEFRA TIME SALARY","AA", ,"17","2661", , ,"53","1700058", , , , , , , , , , , 
"TEFRA TIME SALARY","AA", ,"18","3694", , ,"54","128135", , , , , , , , , , , 
"TEFRA TIME SALARY","AA", ,"18","30111982", , ,"55","332241", , , , , , , , , , , 
"TEFRA TIME SALARY","AA", ,"35","4270", , ,"58","136970", , , , , , , , , , , 
"TEFRA TIME SALARY","AA", ,"52","236733", , ,"60","2018622", , , , , , , , , , , 
"TEFRA TIME SALARY","AA", ,"59","177092", , ,"63","86004", , , , , , , , , , , 
"TEFRA TIME SALARY","AA", ,"70","76827", , ,"69","166575", , , , , , , , , , , 
"TEFRA TIME SALARY","AA", ,"74","19473", , ,"77","22402", , , , , , , , , , , 
