"----------"," Entity 558727"," Report A000000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[558727] Report(A6000B0[00000])","Entity[558727] Report(A6000B0[00100])", ,"Entity[558727] Report(A6000B0[00300])","Entity[558727] Report(A6000B0[00400])","Entity[558727] Report(A6000B0[00500])", ,"Entity[558727] Report(A6000B0[00700])","Entity[558727] Report(A6000B0[00800])","Entity[558727] Report(A6000B0[00900])", , , , , , , , , , 
"CONTRACT LABOR","B", ,"5", ,"34636", ,"5","34636", , , , , , , , , , , 
"CONTRACT LABOR","B", ,"10", ,"132955", ,"10","132955", , , , , , , , , , , 
"CONTRACT LABOR","B", ,"17", ,"1923813", ,"17","1923813", , , , , , , , , , , 
"CONTRACT LABOR","B", ,"30", ,"1132", ,"30","1132", , , , , , , , , , , 
"CONTRACT LABOR","B", ,"34", ,"2184", ,"34","2184", , , , , , , , , , , 
"CONTRACT LABOR","B", ,"50", ,"170791", ,"50","170791", , , , , , , , , , , 
"CONTRACT LABOR","B", ,"51", ,"134051", ,"51","134051", , , , , , , , , , , 
"CONTRACT LABOR","B", ,"55","3908", , ,"55", ,"3908", , , , , , , , , , 
"CONTRACT LABOR","B", ,"65", ,"190252", ,"65","190252", , , , , , , , , , , 
"CONTRACT LABOR","B", ,"69", ,"11762", ,"69","11762", , , , , , , , , , , 
"CONTRACT LABOR","B", ,"76", ,"36413", ,"76","36413", , , , , , , , , , , 
"CONTRACT LABOR","B", ,"90", ,"115659", ,"90","115659", , , , , , , , , , , 
"CONTRACT LABOR","B", ,"90", ,"6934", ,"90","6934", , , , , , , , , , , 
"CONTRACT LABOR","B", ,"90", ,"107808", ,"90","107808", , , , , , , , , , , 
"CONTRACT LABOR","B", ,"90", ,"35387", ,"90","35387", , , , , , , , , , , 
"CONTRACT LABOR","B", ,"95", ,"26273", ,"95","26273", , , , , , , , , , , 
"CONTRACT LABOR","B", ,"101", ,"398014", ,"101","398014", , , , , , , , , , , 
"CONTRACT LABOR","B", ,"112", ,"7338", ,"112","7338", , , , , , , , , , , 
"CONTRACT LABOR","B", ,"192", ,"44780", ,"192","44780", , , , , , , , , , , 
"CONTRACT LABOR","B", ,"192", ,"80317", ,"192","80317", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report A6000C0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[558727] Report(A6000C0[00000])","Entity[558727] Report(A6000C0[00100])", ,"Entity[558727] Report(A6000C0[00300])", ,"Entity[558727] Report(A6000C0[00500])", ,"Entity[558727] Report(A6000C0[00700])", ,"Entity[558727] Report(A6000C0[00900])","Entity[558727] Report(A6000C0[01000])", , , , , , , , , 
"DEPRECIATION","C", ,"1", ,"1309627", ,"4", ,"24532","9", , , , , , , , , 
"DEPRECIATION","C", ,"2", ,"43228262", ,"5", ,"166052","9", , , , , , , , , 
"DEPRECIATION","C", , , , , ,"5", ,"1469010", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"6", ,"14311", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"7", ,"63312", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"8", ,"1027", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"10", ,"128476", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"13", ,"205854", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"14", ,"516478", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"15", ,"1641368", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"17", ,"1854", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"18", ,"56491", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"22", ,"12918", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"23", ,"16650", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"23", ,"16746", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"23", ,"2283", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"30", ,"4113834", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"31", ,"179765", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"32", ,"77748", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"32", ,"112846", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"33", ,"21835", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"34", ,"101964", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"34", ,"4279", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"34", ,"130819", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"34", ,"1200", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"34", ,"427036", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"40", ,"10002", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"43", ,"28225", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"50", ,"8458765", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"50", ,"248343", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"51", ,"133822", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"53", ,"573824", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"53", ,"177450", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"54", ,"9026658", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"55", ,"1029943", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"56", ,"183829", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"60", ,"1563279", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"60", ,"13459", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"60", ,"120361", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"63", ,"55441", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"65", ,"766781", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"66", ,"186871", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"67", ,"16947", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"68", ,"195627", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"69", ,"223713", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"70", ,"454132", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"73", ,"191276", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"74", ,"220671", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"76", ,"25143", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"76", ,"943409", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"76", ,"4515", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"76", ,"398481", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"76", ,"29228", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"77", ,"1196", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"90", ,"80693", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"90", ,"3353846", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"90", ,"214298", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"90", ,"39023", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"90", ,"145520", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"90", ,"221136", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"90", ,"23132", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"90", ,"2725", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"90", ,"2202", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"90", ,"2644", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"90", ,"6308", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"90", ,"56804", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"90", ,"26500", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"90", ,"2375", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"90", ,"1417", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"90", ,"21280", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"91", ,"297140", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"94", ,"61472", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"95", ,"2208601", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"101", ,"456658", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"105", ,"484507", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"106", ,"1070", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"107", ,"8083", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"108", ,"2384", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"112", ,"6445", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"190", ,"639", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"191", ,"52342", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"191", ,"28691", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"192", ,"1745", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"192", ,"426529", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"192", ,"802920", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"192", ,"929", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"192", ,"2144", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"192", ,"672028", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"192", ,"2506", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"192", ,"28534", , , , , , , , , , 
"DEPRECIATION","C", , , , , ,"90", ,"2540", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report A6000D0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[558727] Report(A6000D0[00000])","Entity[558727] Report(A6000D0[00100])", ,"Entity[558727] Report(A6000D0[00300])", ,"Entity[558727] Report(A6000D0[00500])", ,"Entity[558727] Report(A6000D0[00700])", ,"Entity[558727] Report(A6000D0[00900])","Entity[558727] Report(A6000D0[01000])", , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"4", ,"24532", ,"13", ,"19177","9", , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"5", ,"2901", ,"14", ,"163686", , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"5", ,"850434", ,"32", ,"273", , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"6", ,"1252", ,"33", ,"1741", , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"7", ,"1241", ,"34", ,"389", , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"10", ,"6144", ,"53", ,"17666", , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"15", ,"192497", ,"69", ,"8132", , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"18", ,"1518", ,"76", ,"35715", , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"22", ,"442", ,"90", ,"9793", , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"23", ,"327", ,"90", ,"67486", , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"30", ,"2532061", ,"90", ,"320", , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"31", ,"5110", ,"90", ,"2456", , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"32", ,"5956", ,"90", ,"135", , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"34", ,"15461", ,"91", ,"618691", , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"34", ,"23083", ,"105", ,"22095", , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"34", ,"945", ,"192", ,"160252", , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"34", ,"426571", ,"192", ,"186", , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"40", ,"1162", ,"192", ,"36623", , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"43", ,"1167", ,"192", ,"12530", , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"50", ,"273304", ,"2", ,"8355928","9", , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"50", ,"21174", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"51", ,"2507", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"53", ,"55", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"54", ,"4179849", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"55", ,"211528", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"56", ,"24200", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"60", ,"102548", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"60", ,"6056", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"63", ,"2530", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"65", ,"4345", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"66", ,"113789", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"67", ,"185", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"68", ,"49343", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"70", ,"50609", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"73", ,"72940", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"74", ,"55346", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"76", ,"823", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"76", ,"31145", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"76", ,"9601", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"90", ,"8512", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"90", ,"25986", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"90", ,"22003", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"90", ,"1754", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"90", ,"3088", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"90", ,"4605", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"90", ,"15070", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"90", ,"130", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"95", ,"67050", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"106", ,"1070", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"108", ,"122", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"112", ,"6445", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"191", ,"10583", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"191", ,"18564", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"192", ,"1420", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"192", ,"41215", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"192", ,"584", , , , , , , , , , , , , , 
"DEPRECIATION ALLOCATION","D", ,"90", ,"392", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report A6000E0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[558727] Report(A6000E0[00000])","Entity[558727] Report(A6000E0[00100])", ,"Entity[558727] Report(A6000E0[00300])", ,"Entity[558727] Report(A6000E0[00500])", ,"Entity[558727] Report(A6000E0[00700])", ,"Entity[558727] Report(A6000E0[00900])", , , , , , , , , , 
"DRUGS","E", ,"15", ,"107980874", ,"5", ,"10601", , , , , , , , , , 
"DRUGS","E", ,"60", ,"2925", ,"10", ,"193", , , , , , , , , , 
"DRUGS","E", , , , , ,"14", ,"14411", , , , , , , , , , 
"DRUGS","E", , , , , ,"17", ,"131", , , , , , , , , , 
"DRUGS","E", , , , , ,"18", ,"210", , , , , , , , , , 
"DRUGS","E", , , , , ,"22", ,"1721", , , , , , , , , , 
"DRUGS","E", , , , , ,"30", ,"26660", , , , , , , , , , 
"DRUGS","E", , , , , ,"31", ,"2612", , , , , , , , , , 
"DRUGS","E", , , , , ,"32", ,"2584", , , , , , , , , , 
"DRUGS","E", , , , , ,"32", ,"391", , , , , , , , , , 
"DRUGS","E", , , , , ,"33", ,"546", , , , , , , , , , 
"DRUGS","E", , , , , ,"34", ,"1233", , , , , , , , , , 
"DRUGS","E", , , , , ,"34", ,"2619", , , , , , , , , , 
"DRUGS","E", , , , , ,"34", ,"74", , , , , , , , , , 
"DRUGS","E", , , , , ,"34", ,"102", , , , , , , , , , 
"DRUGS","E", , , , , ,"40", ,"119", , , , , , , , , , 
"DRUGS","E", , , , , ,"43", ,"303", , , , , , , , , , 
"DRUGS","E", , , , , ,"50", ,"576088", , , , , , , , , , 
"DRUGS","E", , , , , ,"50", ,"314", , , , , , , , , , 
"DRUGS","E", , , , , ,"51", ,"111", , , , , , , , , , 
"DRUGS","E", , , , , ,"53", ,"509778", , , , , , , , , , 
"DRUGS","E", , , , , ,"53", ,"27156", , , , , , , , , , 
"DRUGS","E", , , , , ,"54", ,"291654", , , , , , , , , , 
"DRUGS","E", , , , , ,"55", ,"3697", , , , , , , , , , 
"DRUGS","E", , , , , ,"56", ,"173885", , , , , , , , , , 
"DRUGS","E", , , , , ,"59", ,"46984", , , , , , , , , , 
"DRUGS","E", , , , , ,"60", ,"19946", , , , , , , , , , 
"DRUGS","E", , , , , ,"65", ,"563", , , , , , , , , , 
"DRUGS","E", , , , , ,"66", ,"16668", , , , , , , , , , 
"DRUGS","E", , , , , ,"68", ,"10251", , , , , , , , , , 
"DRUGS","E", , , , , ,"69", ,"651", , , , , , , , , , 
"DRUGS","E", , , , , ,"70", ,"18", , , , , , , , , , 
"DRUGS","E", , , , , ,"73", ,"43216847", , , , , , , , , , 
"DRUGS","E", , , , , ,"74", ,"1442632", , , , , , , , , , 
"DRUGS","E", , , , , ,"76", ,"23919", , , , , , , , , , 
"DRUGS","E", , , , , ,"76", ,"15", , , , , , , , , , 
"DRUGS","E", , , , , ,"76", ,"14188", , , , , , , , , , 
"DRUGS","E", , , , , ,"76", ,"1138", , , , , , , , , , 
"DRUGS","E", , , , , ,"90", ,"242514", , , , , , , , , , 
"DRUGS","E", , , , , ,"90", ,"45307463", , , , , , , , , , 
"DRUGS","E", , , , , ,"90", ,"489011", , , , , , , , , , 
"DRUGS","E", , , , , ,"90", ,"472", , , , , , , , , , 
"DRUGS","E", , , , , ,"90", ,"14507", , , , , , , , , , 
"DRUGS","E", , , , , ,"90", ,"746731", , , , , , , , , , 
"DRUGS","E", , , , , ,"90", ,"9", , , , , , , , , , 
"DRUGS","E", , , , , ,"90", ,"548", , , , , , , , , , 
"DRUGS","E", , , , , ,"90", ,"4194", , , , , , , , , , 
"DRUGS","E", , , , , ,"90", ,"6124753", , , , , , , , , , 
"DRUGS","E", , , , , ,"90", ,"164259", , , , , , , , , , 
"DRUGS","E", , , , , ,"90", ,"16096", , , , , , , , , , 
"DRUGS","E", , , , , ,"90", ,"1297", , , , , , , , , , 
"DRUGS","E", , , , , ,"90", ,"266190", , , , , , , , , , 
"DRUGS","E", , , , , ,"90", ,"32", , , , , , , , , , 
"DRUGS","E", , , , , ,"90", ,"56130", , , , , , , , , , 
"DRUGS","E", , , , , ,"91", ,"17434", , , , , , , , , , 
"DRUGS","E", , , , , ,"94", ,"853187", , , , , , , , , , 
"DRUGS","E", , , , , ,"95", ,"56684", , , , , , , , , , 
"DRUGS","E", , , , , ,"101", ,"627207", , , , , , , , , , 
"DRUGS","E", , , , , ,"105", ,"28147", , , , , , , , , , 
"DRUGS","E", , , , , ,"106", ,"11950", , , , , , , , , , 
"DRUGS","E", , , , , ,"107", ,"10428", , , , , , , , , , 
"DRUGS","E", , , , , ,"108", ,"104838", , , , , , , , , , 
"DRUGS","E", , , , , ,"191", ,"5437", , , , , , , , , , 
"DRUGS","E", , , , , ,"191", ,"1884", , , , , , , , , , 
"DRUGS","E", , , , , ,"191", ,"835", , , , , , , , , , 
"DRUGS","E", , , , , ,"192", ,"5049074", , , , , , , , , , 
"DRUGS","E", , , , , ,"192", ,"375", , , , , , , , , , 
"DRUGS","E", , , , , ,"192", ,"644", , , , , , , , , , 
"DRUGS","E", , , , , ,"192", ,"1248194", , , , , , , , , , 
"DRUGS","E", , , , , ,"192", ,"7091", , , , , , , , , , 
"DRUGS","E", , , , , ,"90", ,"85171", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report A6000F0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[558727] Report(A6000F0[00000])","Entity[558727] Report(A6000F0[00100])", ,"Entity[558727] Report(A6000F0[00300])", ,"Entity[558727] Report(A6000F0[00500])", ,"Entity[558727] Report(A6000F0[00700])", ,"Entity[558727] Report(A6000F0[00900])", , , , , , , , , , 
"BILLABLE DRUGS","F", ,"73", ,"137297780", ,"15", ,"137297780", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report A6000G0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[558727] Report(A6000G0[00000])","Entity[558727] Report(A6000G0[00100])", ,"Entity[558727] Report(A6000G0[00300])", ,"Entity[558727] Report(A6000G0[00500])", ,"Entity[558727] Report(A6000G0[00700])", ,"Entity[558727] Report(A6000G0[00900])", , , , , , , , , , 
"SUPPLIES","G", ,"14", ,"212122325", ,"5", ,"281938", , , , , , , , , , 
"SUPPLIES","G", ,"73", ,"4926", ,"5", ,"121", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"5", ,"214672", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"6", ,"24320", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"7", ,"5925", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"8", ,"86798", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"9", ,"3774", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"10", ,"109577", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"13", ,"22394", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"15", ,"2198345", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"17", ,"1267", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"18", ,"5228", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"21", ,"52", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"22", ,"9858", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"23", ,"63", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"23", ,"3781", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"23", ,"7258", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"23", ,"338", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"23", ,"2491", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"30", ,"14567785", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"31", ,"2120150", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"32", ,"2056826", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"32", ,"365011", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"33", ,"143057", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"34", ,"1011417", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"192", ,"21314", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"34", ,"1087372", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"34", ,"411092", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"34", ,"102722", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"40", ,"55107", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"43", ,"196129", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"50", ,"87904422", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"50", ,"607864", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"51", ,"485141", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"53", ,"3585391", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"53", ,"256821", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"54", ,"12831617", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"55", ,"379096", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"56", ,"4289719", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"59", ,"4627617", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"60", ,"25850160", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"60", ,"1141349", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"60", ,"901410", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"63", ,"13141692", , , , , , , , , , 
