" Tentative settlement (for contractors use only)","","","","","","42", , , , , , , , , , , , , 
"\" Balance due provider/program (line 40 minus the sum of lines 41"," and 42) \"","","","","","","43", , , , , , , , , , , , 
"\" Protested amounts (nonallowable cost report items) in accordance with CMS Pub. 15-II"," section 115.2\"","","","","","","44", , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"Check applicable box","","  [  ] Hospital     [  ] IPF        [ ] IRF      [  ] Subprovider(Other)        [  ] SNF","","","","", , , , , , , , , , , , , 
"PART B - MEDICAL AND OTHER HEALTH SERVICES","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"TO BE COMPLETED BY CONTRACTOR","","","","","","", , , , , , , , , , , , , 
" Original outlier amount  (see instructions)","","","","","","90", , , , , , , , , , , , , 
" Outlier reconciliation adjustment amount  (see instructions)","","","","","","91", , , , , , , , , , , , , 
" The rate used to calculate the Time Value of Money","","","","","","92", , , , , , , , , , , , , 
" Time Value of Money  (see instructions)","","","","","","93", , , , , , , , , , , , , 
" Total (sum of lines 91 and 93)","","","","","","94", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
"","","","","","","", , , , , , , , , , , , , 
" SECTION 4030.2)\"","","","","","","","", , , , , , , , , , , , 
"","","","","","","40-587", , , , , , , , , , , , , 
 ,"Entity[558727] Report(E00B18B[00100])", , , , , , , , , , , , , , , , , , 
 ,"129", , , , , , , , , , , , , , , , , , 
 ,"129", , , , , , , , , , , , , , , , , , 
 ,"440", , , , , , , , , , , , , , , , , , 
 ,"440", , , , , , , , , , , , , , , , , , 
 ,"311", , , , , , , , , , , , , , , , , , 
 ,"129", , , , , , , , , , , , , , , , , , 
 ,"129", , , , , , , , , , , , , , , , , , 
 ,"129", , , , , , , , , , , , , , , , , , 
 ,"129", , , , , , , , , , , , , , , , , , 
 ,"129", , , , , , , , , , , , , , , , , , 
 ,"129", , , , , , , , , , , , , , , , , , 
 ,"2", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report E10A181 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"applicable","","   [ ] IPF                    [ ] SNF","","","Part A ","","Part B","", , , , , , , , , , , 
"box:","","   [ ] IRF                    [ ] Swing-Bed SNF","","","mm/dd/yyyy","Amount","mm/dd/yyyy","Amount", , , , , , , , , , , 
"Description","","","","1","2","3","4","", , , , , , , , , , , 
"Total interim payments paid to provider","","","","","","","","1", , , , , , , , , , , 
"\"Interim payments payable on individual bills"," either submitted or to be submitted to the intermediary\"","","","","","","","","2", , , , , , , , , , 
"\"for services rendered in the cost reporting period.  If none"," write \"\"NONE\"\" or enter a zero\"","","","","","","","","", , , , , , , , , , 
"List separately each retroactive  ","","","0.01","","","","","3.01", , , , , , , , , , , 
"lump sum adjustment amount based","","","0.02","","","","","3.02", , , , , , , , , , , 
"on subsequent revision of the","","Program to ","0.03","","","","","3.03", , , , , , , , , , , 
"interim rate for the cost reporting period.","","Provider","0.04","","","","","3.04", , , , , , , , , , , 
"Also show date of each payment.","","","0.05","","","","","3.05", , , , , , , , , , , 
"\"If none"," write \"\"NONE\"\" or enter a zero. (1)\"","","","0.5","","","","","3.5", , , , , , , , , , 
"","","","0.51","","","","","3.51", , , , , , , , , , , 
"","","Provider to ","0.52","","","","","3.52", , , , , , , , , , , 
"","","Program","0.53","","","","","3.53", , , , , , , , , , , 
"","","","0.54","","","","","3.54", , , , , , , , , , , 
"Subtotal (sum of lines 3.01- 3.49 minus sum of lines 3.50-3.98)","","","0.99","","","","","3.99", , , , , , , , , , , 
"\"Total interim payments (sum of lines 1"," 2"," and 3.99) \"","","","","","","","","4", , , , , , , , , 
"\"(transfer to Wkst. E or Wkst. E-3"," line\"","","","","","","","","", , , , , , , , , , 
"and column as appropriate)","","","","","","","","", , , , , , , , , , , 
"TO BE COMPLETED BY CONTRACTOR","","","","","","","","", , , , , , , , , , , 
"List separately each tentative settlement","","Program to","0.01","","","","","5.01", , , , , , , , , , , 
"payment after desk review. Also show","","Provider","0.02","","","","","5.02", , , , , , , , , , , 
"date of each payment.","","","0.03","","","","","5.03", , , , , , , , , , , 
"\"If none"," write \"\"NONE\"\" or enter a zero. (1)\"","","","0.5","","","","","5.5", , , , , , , , , , 
"","","Provider to ","0.51","","","","","5.51", , , , , , , , , , , 
"","","Program","0.52","","","","","5.52", , , , , , , , , , , 
"Subtotal (sum of lines 5.01-5.49 minus sum of lines 5.50 -5.98)","","","0.99","","","","","5.99", , , , , , , , , , , 
"Determined net settlement amount (balance","","Program to provider","0.01","","","","","6.01", , , , , , , , , , , 
"due) based on the cost report (1)","","Provider to program","0.02","","","","","6.02", , , , , , , , , , , 
"Total Medicare program liability (see instructions)","","","","","","","","7", , , , , , , , , , , 
" Name of Contractor","","","",""," Contractor Number","","Date (Month/Day/Year)","8", , , , , , , , , , , 
"","","","","","","","","", , , , , , , , , , , 
"","","","","","","","","", , , , , , , , , , , 
"\"(1) On lines 3"," 5"," and 6"," where an amount is due provider to program"," show the amount and date on which the provider agrees to the amount of repayment\"","","","","","","","","", , , , , , , 
"even though total repayment is not accomplished until a later date.","","","","","","","","", , , , , , , , , , , 
"Entity[558727] Report(E10A181[00000])","Entity[558727] Report(E10A181[00100])","Entity[558727] Report(E10A181[00200])","Entity[558727] Report(E10A181[00300])","Entity[558727] Report(E10A181[00400])", , , , , , , , , , , , , , , 
 , ,"279379605", ,"82016849", , , , , , , , , , , , , , , 
 ,"12/30/2013","201400", , , , , , , , , , , , , , , , , 
 ,"08/12/2014","6886597","08/12/2014","2864245", , , , , , , , , , , , , , , 
 , ,"7087997", ,"2864245", , , , , , , , , , , , , , , 
 , ,"286467602", ,"84881094", , , , , , , , , , , , , , , 
 , ,"287216447", ,"85643846", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report E10A182 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"applicable box:","","","","","","","", , , , , , , , , , , , 
"","","","","","","","", , , , , , , , , , , , 
"HEALTH INFORMATION TECHNOLOGY DATA COLLECTION AND CALCULATION","","","","","","","", , , , , , , , , , , , 
"\" Total hospital discharges as defined in AARA �4102 from Wkst S-3"," Part I"," line 14"," column 15\"","","","","","","","1", , , , , , , , , 
"\" Medicare days from Wkst S-3"," Part I"," column 6 sum of lines 1"," 8-12\"","","","","","","","2", , , , , , , , , 
"\" Medicare HMO days from Wkst S-3"," Part I"," column 6. line 2\"","","","","","","","3", , , , , , , , , , 
"\" Total inpatient bed days from S-3"," Part I column 8 sum of lines 1"," 8-12\"","","","","","","","4", , , , , , , , , , 
"\" Total hospital charges from Wkst C"," Part I"," column 8 line 200\"","","","","","","","5", , , , , , , , , , 
"\" Total hospital charity care charges from Wkst S-10"," column 3 line 20\"","","","","","","","6", , , , , , , , , , , 
"\" CAH only - The reasonable cost incurred for the purchase of certified HIT technology fromWorksheet S-2"," Part I line 168\"","","","","","","","7", , , , , , , , , , , 
" Calcualtion of the HIT incentive payment  (see instructions)","","","","","","","8", , , , , , , , , , , , 
"","","","","","","","", , , , , , , , , , , , 
"INPATIENT HOSPITAL SERVICES UNDER PPS & CAH","","","","","","","", , , , , , , , , , , , 
" Initial/interim HIT payment(s).","","","","","","","30", , , , , , , , , , , , 
" Other Adjustments (specify)","","","","","","","31", , , , , , , , , , , , 
" Balance due provider (line 8 minus line 30 � line 31)","","","","","","","32", , , , , , , , , , , , 
 ,"Entity[558727] Report(E10A182[00100])", , , , , , , , , , , , , , , , , , 
 ,"53771", , , , , , , , , , , , , , , , , , 
 ,"91750", , , , , , , , , , , , , , , , , , 
 ,"21737", , , , , , , , , , , , , , , , , , 
 ,"317235", , , , , , , , , , , , , , , , , , 
 ,"2147483647", , , , , , , , , , , , , , , , , , 
 ,"372529769", , , , , , , , , , , , , , , , , , 
 ,"1820285", , , , , , , , , , , , , , , , , , 
 ,"36406", , , , , , , , , , , , , , , , , , 
 ,"1783879", , , , , , , , , , , , , , , , , , 
 ,"1593786", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report E10B181 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"applicable","","   [ ] IPF                    [ ] SNF","","","Part A ","","Part B","", , , , , , , , , , , 
"box:","","   [ ] IRF                    [ ] Swing-Bed SNF","","","mm/dd/yyyy","Amount","mm/dd/yyyy","Amount", , , , , , , , , , , 
"Description","","","","1","2","3","4","", , , , , , , , , , , 
"Total interim payments paid to provider","","","","","","","","1", , , , , , , , , , , 
"\"Interim payments payable on individual bills"," either submitted or to be submitted to the intermediary\"","","","","","","","","2", , , , , , , , , , 
"\"for services rendered in the cost reporting period.  If none"," write \"\"NONE\"\" or enter a zero\"","","","","","","","","", , , , , , , , , , 
"List separately each retroactive  ","","","0.01","","","","","3.01", , , , , , , , , , , 
"lump sum adjustment amount based","","","0.02","","","","","3.02", , , , , , , , , , , 
"on subsequent revision of the","","Program to ","0.03","","","","","3.03", , , , , , , , , , , 
"interim rate for the cost reporting period.","","Provider","0.04","","","","","3.04", , , , , , , , , , , 
"Also show date of each payment.","","","0.05","","","","","3.05", , , , , , , , , , , 
"\"If none"," write \"\"NONE\"\" or enter a zero. (1)\"","","","0.5","","","","","3.5", , , , , , , , , , 
"","","","0.51","","","","","3.51", , , , , , , , , , , 
"","","Provider to ","0.52","","","","","3.52", , , , , , , , , , , 
"","","Program","0.53","","","","","3.53", , , , , , , , , , , 
"","","","0.54","","","","","3.54", , , , , , , , , , , 
"Subtotal (sum of lines 3.01- 3.49 minus sum of lines 3.50-3.98)","","","0.99","","","","","3.99", , , , , , , , , , , 
"\"Total interim payments (sum of lines 1"," 2"," and 3.99) \"","","","","","","","","4", , , , , , , , , 
"\"(transfer to Wkst. E or Wkst. E-3"," line\"","","","","","","","","", , , , , , , , , , 
"and column as appropriate)","","","","","","","","", , , , , , , , , , , 
"TO BE COMPLETED BY CONTRACTOR","","","","","","","","", , , , , , , , , , , 
"List separately each tentative settlement","","Program to","0.01","","","","","5.01", , , , , , , , , , , 
"payment after desk review. Also show","","Provider","0.02","","","","","5.02", , , , , , , , , , , 
"date of each payment.","","","0.03","","","","","5.03", , , , , , , , , , , 
"\"If none"," write \"\"NONE\"\" or enter a zero. (1)\"","","","0.5","","","","","5.5", , , , , , , , , , 
"","","Provider to ","0.51","","","","","5.51", , , , , , , , , , , 
"","","Program","0.52","","","","","5.52", , , , , , , , , , , 
"Subtotal (sum of lines 5.01-5.49 minus sum of lines 5.50 -5.98)","","","0.99","","","","","5.99", , , , , , , , , , , 
"Determined net settlement amount (balance","","Program to provider","0.01","","","","","6.01", , , , , , , , , , , 
"due) based on the cost report (1)","","Provider to program","0.02","","","","","6.02", , , , , , , , , , , 
"Total Medicare program liability (see instructions)","","","","","","","","7", , , , , , , , , , , 
" Name of Contractor","","","",""," Contractor Number","","Date (Month/Day/Year)","8", , , , , , , , , , , 
"","","","","","","","","", , , , , , , , , , , 
"","","","","","","","","", , , , , , , , , , , 
"\"(1) On lines 3"," 5"," and 6"," where an amount is due provider to program"," show the amount and date on which the provider agrees to the amount of repayment\"","","","","","","","","", , , , , , , 
"even though total repayment is not accomplished until a later date.","","","","","","","","", , , , , , , , , , , 
"Entity[558727] Report(E10B181[00000])","Entity[558727] Report(E10B181[00100])","Entity[558727] Report(E10B181[00200])","Entity[558727] Report(E10B181[00300])","Entity[558727] Report(E10B181[00400])", , , , , , , , , , , , , , , 
 , ,"1211531", ,"88", , , , , , , , , , , , , , , 
 ,"08/12/2014","58684","08/12/2014","39", , , , , , , , , , , , , , , 
 , ,"58684", ,"39", , , , , , , , , , , , , , , 
 , ,"1270215", ,"127", , , , , , , , , , , , , , , 
 , ,"1270215", ,"127", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report E30B182 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"applicable","","   [ ] Subprovider (Other) ","","","", , , , , , , , , , , , , , 
"box:","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"PART II - CALCULATION OF MEDICARE REIMBURSEMENT SETTLEMENT UNDER IPF PPS","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"\" Net Federal IPF PPS payment (excluding outlier"," ECT"," and medical education payments) \"","","","","","1", , , , , , , , , , , , 
" Net IPF PPS Outlier payment","","","","","2", , , , , , , , , , , , , , 
" Net IPF PPS ECT payment","","","","","3", , , , , , , , , , , , , , 
"\" Unweighted intern and resident FTE count in the most recent cost report filed on or before November 15"," 2004  (see instructions)\"","","","","","4", , , , , , , , , , , , , 
" New teaching program adjustment  (see instructions)","","","","","5", , , , , , , , , , , , , , 
"\" Current year unweighted FTE count of I&R other than FTEs in the first 3 years of a \"\"new teaching program\"\"  (see instructions)\"","","","","","6", , , , , , , , , , , , , , 
"\" Current year unweighted I&R FTE count for residents within the first 3 years of a \"\"new teaching program\"\"  (see instructions)\"","","","","","7", , , , , , , , , , , , , , 
" Intern and resident count for IPF PPS medical education adjustment  (see instructions)","","","","","8", , , , , , , , , , , , , , 
" Average daily census  (see instructions)","","","","","9", , , , , , , , , , , , , , 
" Medical Education Adjustment Factor {((1 + (line 8/line 9)) raised to the power of .5150 -1}.","","","","","10", , , , , , , , , , , , , , 
" Medical Education Adjustment  (line 1 multiplied by line 10).","","","","","11", , , , , , , , , , , , , , 
"\" Adjusted Net IPF PPS Payments (sum of lines 1"," 2"," 3 and 11)\"","","","","","12", , , , , , , , , , , , 
" Nursing and allied health managed care payment  (see instruction)","","","","","13", , , , , , , , , , , , , , 
" Organ acquisition","","","","","14", , , , , , , , , , , , , , 
"\" Cost of teaching physicians (from Worksheet D-5"," Part II"," column 3"," line 20)  (see instructions)\"","","","","","15", , , , , , , , , , , 
" Subtotal  (see instructions)","","","","","16", , , , , , , , , , , , , , 
" Primary payer payments","","","","","17", , , , , , , , , , , , , , 
" Subtotal (line 16 less line 17). ","","","","","18", , , , , , , , , , , , , , 
" Deductibles","","","","","19", , , , , , , , , , , , , , 
" Subtotal (line 18 minus line 19)","","","","","20", , , , , , , , , , , , , , 
" Coinsurance","","","","","21", , , , , , , , , , , , , , 
" Subtotal (line 20 minus line 21)","","","","","22", , , , , , , , , , , , , , 
" Allowable bad debts (exclude bad debts for professional services)  (see instructions)","","","","","23", , , , , , , , , , , , , , 
" Adjusted reimbursable bad debts  (see instructions)","","","","","24", , , , , , , , , , , , , , 
" Allowable bad debts for dual eligible beneficiaries  (see instructions)","","","","","25", , , , , , , , , , , , , , 
" Subtotal (sum of lines 22 and 24) ","","","","","26", , , , , , , , , , , , , , 
"\" Direct graduate medical education payments (from Worksheet E-4"," line 49)\"","","","","","27", , , , , , , , , , , , , 
" Other pass through costs  (see instructions)","","","","","28", , , , , , , , , , , , , , 
" Outlier payments reconciliation","","","","","29", , , , , , , , , , , , , , 
" Other adjustments  (specify)  (see instructions)","","","","","30", , , , , , , , , , , , , , 
" Total amount payable to the provider  (see instructions)","","","","","31", , , , , , , , , , , , , , 
" Interim payments","","","","","32", , , , , , , , , , , , , , 
" Tentative settlement (for contractor use only)","","","","","33", , , , , , , , , , , , , , 
" Balance due provider/program (line 31 minus the sum lines 32 and 33)","","","","","34", , , , , , , , , , , , , , 
"\" Protested amounts (nonallowable cost report items) in accordance with CMS Pub. 15-2"," section 115.2\"","","","","","35", , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"TO BE COMPLETED BY CONTRACTOR","","","","","", , , , , , , , , , , , , , 
"\" Original outlier amount from Worksheet E-3"," Part II"," line 2  (see instructions)\"","","","","","50", , , , , , , , , , , , 
" Outlier reconciliation adjustment amount  (see instructions)","","","","","51", , , , , , , , , , , , , , 
" The rate used to calculate the Time Value of Money  (see instructions)","","","","","52", , , , , , , , , , , , , , 
" Time Value of Money  (see instructions)","","","","","53", , , , , , , , , , , , , , 
 ,"Entity[558727] Report(E30B182[00100])", , , , , , , , , , , , , , , , , , 
 ,"1239833", , , , , , , , , , , , , , , , , , 
 ,"44784", , , , , , , , , , , , , , , , , , 
 ,"39130", , , , , , , , , , , , , , , , , , 
 ,"16", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"18", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"14910", , , , , , , , , , , , , , , , , , 
 ,"1338657", , , , , , , , , , , , , , , , , , 
 ,"1338657", , , , , , , , , , , , , , , , , , 
 ,"1338657", , , , , , , , , , , , , , , , , , 
 ,"91140", , , , , , , , , , , , , , , , , , 
 ,"1247517", , , , , , , , , , , , , , , , , , 
 ,"47064", , , , , , , , , , , , , , , , , , 
 ,"1200453", , , , , , , , , , , , , , , , , , 
 ,"127262", , , , , , , , , , , , , , , , , , 
 ,"82720", , , , , , , , , , , , , , , , , , 
 ,"1415", , , , , , , , , , , , , , , , , , 
 ,"1283173", , , , , , , , , , , , , , , , , , 
 ,"6516", , , , , , , , , , , , , , , , , , 
 ,"1289689", , , , , , , , , , , , , , , , , , 
 ,"19474", , , , , , , , , , , , , , , , , , 
 ,"1270215", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report E40A180 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"DIRECT GRADUATE MEDICAL EDUCATION (GME) ","","","","","", , , , , , , , , , , , , , 
"& ESRD OUTPATIENT DIRECT MEDICAL ","","","","","", , , , , , , , , , , , , , 
"EDUCATION COSTS","","","","","", , , , , , , , , , , , , , 
"Check","","   [ ]  Title V","","","", , , , , , , , , , , , , , 
"applicable","","   [ ]  Title XVIII","","","", , , , , , , , , , , , , , 
"box:","","   [ ]  Title XIX","","","", , , , , , , , , , , , , , 
"COMPUTATION OF TOTAL DIRECT GME AMOUNT","","","","","", , , , , , , , , , , , , , 
"\" Unweighted resident FTE count for allopathic and osteopathic programs for cost reporting periods ending on or before December 31"," 1996\"","","","","","1", , , , , , , , , , , , , 
" Unweighted FTE resident cap add-on for new programs per 42 CFR 413.79(e)(1)  (see instructions)","","","","","2", , , , , , , , , , , , , , 
" Amount of reduction to Direct GME cap under section 422 of MMA ","","","","","3", , , , , , , , , , , , , , 
" 3.01 Direct GME cap reduction amount under ACA �5503 in accordance with CFR �413.79 (m).  (see instructions ","","","","","3.01", , , , , , , , , , , , , , 
" for cost reporting periods straddling 7/1/2011)","","","","","", , , , , , , , , , , , , , 
" Adjustment (plus or minus) to the FTE cap for allopathic and osteopathic programs due to a Medicare GME  ","","","","","4", , , , , , , , , , , , , , 
" affiliation agreement (42 CFR �413.75(b) and � 413.79 (f))","","","","","", , , , , , , , , , , , , , 
" 4.01ACA Section 5503 increase to the Direct GME FTE Cap (see instructions for cost reporting periods straddling 7/1/2011)","","","","","4.01", , , , , , , , , , , , , , 
" 4.02ACA Section 5506 number of additional direct GME FTE cap slots  (see instructions for cost reporting periods straddling 7/1/2011)","","","","","4.02", , , , , , , , , , , , , , 
" FTE adjusted cap (line 1 plus line 2 minus line 3 and 3.01 plus or minus line 4 plus line 4.01 plus line 4.02 plus applicable subscripts","","","","","5", , , , , , , , , , , , , , 
" Unweighted resident FTE count for allopathic and osteopathic programs for the current year from your records  (see instructions)","","","","","6", , , , , , , , , , , , , , 
" Enter the lesser of line 5 or line 6","","","","","7", , , , , , , , , , , , , , 
"","","Primary Care","Other ","Total","", , , , , , , , , , , , , , 
"","","1","2","3","", , , , , , , , , , , , , , 
" Weighted FTE count for physicians in an allopathic and osteopathic program for","","","","","8", , , , , , , , , , , , , , 
" the current year","","","","","", , , , , , , , , , , , , , 
"\" If line 6 is less than 5 enter the amount from line 8"," otherwise  multiply line 8 times\"","","","","","9", , , , , , , , , , , , , 
" the result of line 5 divided by the amount on line 6","","","","","", , , , , , , , , , , , , , 
" Weighted dental and podiatric resident FTE count for the current year ","","","","","10", , , , , , , , , , , , , , 
" Total weighted FTE count","","","","","11", , , , , , , , , , , , , , 
" Total weighted resident FTE count for the prior cost reporting year  (see instructions)","","","","","12", , , , , , , , , , , , , , 
" Total weighted resident FTE count for the penultimate cost reporting year  (see instr.)","","","","","13", , , , , , , , , , , , , , 
" Rolling average FTE count (sum of lines 11 through 13 divided by 3)","","","","","14", , , , , , , , , , , , , , 
" Adjustment for residents in initial years of new programs","","","","","15", , , , , , , , , , , , , , 
" Adjustment for residents displaced by program or hospital closure","","","","","16", , , , , , , , , , , , , , 
" Adjusted rolling average FTE count","","","","","17", , , , , , , , , , , , , , 
" Per resident amount","","","","","18", , , , , , , , , , , , , , 
" Approved amount for resident costs","","","","","19", , , , , , , , , , , , , , 
" Additional unweighted allopathic and osteopathic direct GME FTE resident cap slots received under 42 Sec. 413.79(c )(4)","","","","","20", , , , , , , , , , , , , , 
" GME FTE weighted resident count over cap  (see instructions)","","","","","21", , , , , , , , , , , , , , 
" Allowable additional direct GME FTE resident count  (see instructions)","","","","","22", , , , , , , , , , , , , , 
" Enter the locality adjustment national average per resident amount  (see instructions)","","","","","23", , , , , , , , , , , , , , 
" Multiply line 22 time line 23","","","","","24", , , , , , , , , , , , , , 
" Total direct GME amount (sum of lines 19 and 24)","","","","","25", , , , , , , , , , , , , , 
" COMPUTATION OF PROGRAM PATIENT LOAD","","Inpatient Part A","Managed Care","","", , , , , , , , , , , , , , 
" Inpatient days","","","","","26", , , , , , , , , , , , , , 
" Total inpatient days","","","","","27", , , , , , , , , , , , , , 
" Ratio of inpatient days to total inpatient days","","","","","28", , , , , , , , , , , , , , 
" Program direct GME amount","","","","","29", , , , , , , , , , , , , , 
" Reduction for nursing/allied health","","","","","30", , , , , , , , , , , , , , 
" Net Program direct GME amount","","","","","31", , , , , , , , , , , , , , 
" DIRECT MEDICAL EDUCATION COSTS FOR ESRD COMPOSITE RATE - TITLE XVIII ONLY (NURSING SCHOOL AND","","","","","", , , , , , , , , , , , , , 
" PARAMEDICAL EDUCATION COSTS)","","","","","", , , , , , , , , , , , , , 
"\" Renal dialysis direct medical education costs (from Worksheet B"," Part I"," sum of columns 20 and 23"," lines 74 and 94)\"","","","","","32", , , , , , , , , , , 
"\" Renal dialysis and home dialysis total charges (Worksheet C"," Part I"," column 8"," sum of lines 74 and 94)\"","","","","","33", , , , , , , , , , , 
" Ratio of direct medical education costs to total charges (line 32 � line 33)","","","","","34", , , , , , , , , , , , , , 
" Medicare outpatient ESRD charges  (see instructions)","","","","","35", , , , , , , , , , , , , , 
" Medicare outpatient ESRD direct medical education costs (line 34 x line 35)","","","","","36", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"DIRECT GRADUATE MEDICAL EDUCATION (GME) ","",""," PROVIDER CCN:"," PERIOD:"," WORKSHEET E-4", , , , , , , , , , , , , , 
"& ESRD OUTPATIENT DIRECT MEDICAL ","","",""," FROM ____________"," (Cont.)", , , , , , , , , , , , , , 
"EDUCATION COSTS","",""," ________________"," TO _______________","", , , , , , , , , , , , , , 
"Check","","   [ ]  Title V","","","", , , , , , , , , , , , , , 
"applicable","","   [ ]  Title XVIII","","","", , , , , , , , , , , , , , 
"box:","","   [ ]  Title XIX","","","", , , , , , , , , , , , , , 
"APPORTIONMENT OF MEDICARE REASONABLE COST OF GME","","","","","", , , , , , , , , , , , , , 
"Part A Reasonable Cost","","","","","", , , , , , , , , , , , , , 
" Reasonable cost  (see instructions)","","","","","37", , , , , , , , , , , , , , 
"\" Organ acquisition costs (Worksheet D-4"," Part III"," column 1"," line 69)\"","","","","","38", , , , , , , , , , , 
"\" Cost of teaching physicians (Worksheet D-5"," Part II"," column 3"," line 20)\"","","","","","39", , , , , , , , , , , 
" Primary payer payments  (see instructions)","","","","","40", , , , , , , , , , , , , , 
" Total Part A reasonable cost (sum of lines 37 through 39 minus line 40)","","","","","41", , , , , , , , , , , , , , 
"Part B Reasonable Cost ","","","","","", , , , , , , , , , , , , , 
" Reasonable cost  (see instructions)","","","","","42", , , , , , , , , , , , , , 
" Primary payer payments  (see instructions)","","","","","43", , , , , , , , , , , , , , 
