"Line(00902)", ,"23844"
"Line(00903)", ,"26900","1456","1847"
"Line(00904)", ,"29020","295","305"
"Line(00905)", ,"29140","616","666"
"Line(00906)", ,"34620","585","332"
"Line(00907)", ,"43780","10"
"Line(00908)", ,"99915","898","1008"
"Line(01000)", ,"11300","12","7"
"Line(01001)", ,"14020","4","14"
"Line(01002)", ,"23844"
"Line(01003)", ,"26900","448","470"
"Line(01004)", ,"29020","42","78"
"Line(01005)", ,"29140","49","58"
"Line(01006)", ,"34620","276","65"
"Line(01007)", ,"43780","5"
"Line(01008)", ,"99915","168","196"
"Line(01100)", ,"11300"
"Line(01101)", ,"14020"
"Line(01102)", ,"23844"
"Line(01103)", ,"26900","95","53"
"Line(01104)", ,"29020","26"
"Line(01105)", ,"29140","16","16"
"Line(01106)", ,"34620","22","10"
"Line(01107)", ,"43780"
"Line(01108)", ,"99915","25","10"
"Line(01200)", ,"11300","1","1"
"Line(01201)", ,"14020","3","3"
"Line(01202)", ,"23844"
"Line(01203)", ,"26900","110","110"
"Line(01204)", ,"29020","1","7"
"Line(01205)", ,"29140","4","11"
"Line(01206)", ,"34620","20","9"
"Line(01207)", ,"43780"
"Line(01208)", ,"99915","27","31"
"Line(01300)", ,"11300","44","413"
"Line(01301)", ,"14020","23","73"
"Line(01302)", ,"23844"
"Line(01303)", ,"26900","449","400"
"Line(01304)", ,"29020","124","303"
"Line(01305)", ,"29140","89","159"
"Line(01306)", ,"34620","287","529"
"Line(01307)", ,"43780","8"
"Line(01308)", ,"99915","337","718"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report H310182 ","-------------","-------------","-----------",""
"","","","","","","","","","","","","Total","","",""
"","","","","","","","","","","","Cost","HHA Charges","HHA Shared","Transfer to ",""
"","","","","","","","","","","\"From Wkst. C","\"","to Charge","(from provider","Ancillary Costs","Part I",""
"","","","","","","","","","","\"Part I"," col. 9","\"","Ratio","records)","(col. 1 x col. 2)","as Indicated",""
"","","","","","","","","","","line","1","2","3","4",""
"1"," Physical Therapy","","","","","","","","","66","","","","\"col. 2"," line 2\"","1"
"2"," Occupational Therapy","","","","","","","","","67","","","","\"col. 2"," line 3\"","2"
"3"," Speech Pathology","","","","","","","","","68","","","","\"col. 2"," line 4\"","3"
"4"," Cost of Medical Supplies","","","","","","","","","71","","","","\"col. 2"," line 15\"","4"
"5"," Cost of Drugs","","","","","","","","","73","","","","\"col. 2"," line 16\"","5"
"Entity[558727] Report(H310182)", ,"Entity[558727] Report(H310182[00100])"
"Line(00100)", ,"0"
"Line(00200)", ,"0"
"Line(00300)", ,"1"
"Line(00400)", ,"0"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report H410181 ","-------------","-------------","-----------",""
"","PART I - COMPUTATION OF THE LESSER OF REASONABLE COST OR CUSTOMARY CHARGES","","","","",""
"","","","","Part B","",""
"","","","","Not Subject to","Subject to",""
"","","","","Deductibles","Deductibles",""
"","","","Part A","& Coinsurance","& Coinsurance",""
"","        Description","","1","2","3",""
"","Reasonable Cost of Part A & Part B Services","","","","",""
"1"," Reasonable cost of services (see instructions)","","","","","1"
"2"," Total charges ","","","","","2"
"","Customary Charges","","","","",""
"3"," Amount actually collected from patients liable for payment","","","","","3"
""," for services on a charge basis (from your records)","","","","",""
"4"," Amount that would have been realized from patients liable","","","","","4"
""," for payment for services on a charge basis had such","","","","",""
""," payment been made in accordance with 42 CFR 413.13(b)","","","","",""
"5"," Ratio of line 3 to line 4 (not to exceed 1.000000)","","","","","5"
"6"," Total customary charges (see instructions)","","","","","6"
"7"," Excess of total customary charges over total reasonable","","","","","7"
""," cost (complete only if line 6 exceeds line 1)","","","","",""
"8"," Excess of reasonable cost over customary charges ","","","","","8"
""," (complete only if line 1 exceeds line 6)","","","","",""
"9"," Primary payer amounts ","","","","","9"
"Entity[558727] Report(H410181)", ,"Entity[558727] Report(H410181[00100])","Entity[558727] Report(H410181[00200])"
"Line(00200)", ,"2774417","2738865"
"Line(00600)", ,"2774417","2738865"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report H410182 ","-------------","-------------","-----------",""
"","","","","Part A Services","Part B Services",""
"","        Description","","","1","2",""
"10"," Total reasonable cost (see instructions)","","","","","10"
"11"," Total PPS Reimbursement - Full Episodes without Outliers","","","","","11"
"12"," Total PPS Reimbursement - Full Episodes with Outliers","","","","","12"
"13"," Total PPS Reimbursement - LUPA Episodes","","","","","13"
"14"," Total PPS Reimbursement - PEP Episodes","","","","","14"
"15"," Total PPS Outlier Reimbursement - Full Episodes with Outliers","","","","","15"
"16"," Total PPS Outlier Reimbursement - PEP Episodes","","","","","16"
"17"," Total Other Payments","","","","","17"
"18"," DME Payments","","","","","18"
"19"," Oxygen Payments","","","","","19"
"20"," Prosthetic and Orthotic Payments","","","","","20"
"21"," Part B deductibles billed to Medicare patients (exclude coinsurance)","","","","","21"
"22"," Subtotal (sum of lines 10 thru 20 minus line 21)","","","","","22"
"23"," Excess reasonable cost (from line 8)","","","","","23"
"24"," Subtotal (line 22 minus line 23)","","","","","24"
"25"," Coinsurance billed to program patients (from your records)","","","","","25"
"26"," Net cost (line 24 minus line 25)","","","","","26"
"27"," Reimbursable bad debts (from your records)","","","","","27"
"28"," Reimbursable bad debts for dual eligible beneficiaries (see instructions)","","","","","28"
"29"," Total costs - current cost reporting period (line 26 plus line 27)","","","","","29"
"30"," Other adjustments (see instructions) (specify)","","","","","30"
"31"," Subtotal (line 29 plus/minus line 30)","","","","","31"
"32"," Interim payments (see instructions)","","","","","32"
"33"," Tentative settlement (for contractor use only)","","","","","33"
"34"," Balance due provider/program (line 31 minus lines 32 and 33)","","","","","34"
"35"," Protested amounts (nonallowable cost report items) in accordance with CMS","","","","","35"
"","\" Pub. 15-II"," section 115.2\"","","","","",""
"Entity[558727] Report(H410182)", ,"Entity[558727] Report(H410182[00100])","Entity[558727] Report(H410182[00200])"
"Line(01100)", ,"2175844","2179946"
"Line(01200)", ,"40288","30068"
"Line(01300)", ,"50303","71354"
"Line(01400)", ,"38375","32235"
"Line(01500)", ,"5878","6237"
"Line(01600)", ,"524","355"
"Line(02200)", ,"2311212","2320195"
"Line(02400)", ,"2311212","2320195"
"Line(02600)", ,"2311212","2320195"
"Line(02900)", ,"2311212","2320195"
"Line(03100)", ,"2311212","2320195"
"Line(03101)", ,"30944","35827"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 558727"," Report H510000 ","-------------","-------------","-----------",""
"","","     Description","","","","","Part A","","Part B","",""
"","","","","","","","mm/dd/yyyy","Amount","mm/dd/yyyy","Amount",""
"","","","","","","","1","2","3","4",""
"1"," Total interim payments paid to provider ","","","","","","","","","","1"
"2"," Interim payments payable on individual bills either submitted or ","","","","","","","","","","2"
""," to be submitted to the intermediary for services rendered in the","","","","","","","","","",""
"","\" cost reporting period.  If none"," write \"\"NONE\"\" or enter a zero.\"","","","","","","","","","",""
"3"," List separately each retroactive lump sum ","","","","","0.01","","","","","3.01"
""," adjustment amount based on subsequent revision","","","","","0.02","","","","","3.02"
""," of the interim rate for the cost reporting period.","","","","Program ","0.03","","","","","3.03"
"","\" Also show date of each payment.  If none"," write\"","","","","    to   ","0.04","","","","","3.04"
"","\" \"\"NONE\"\" or enter a zero.(1)\"","","","","Provider","0.05","","","","","3.05"
"","","","","","","0.5","","","","","3.5"
"","                                ","","","","","0.51","","","","","3.51"
"","","","","","Provider","0.52","","","","","3.52"
"","                                 ","","","","    to   ","0.53","","","","","3.53"
"","","","","","Program ","0.54","","","","","3.54"
""," Subtotal (sum of lines 3.01-3.49 minus sum","","","","","","","","","",""
""," of lines 3.50-3.98)                         ","","","","","0.99","","","","","3.99"
"4","\" Total interim payments (sum of lines 1"," 2"," and 3.99)\"","","","","","","","","","","4"
"","\" (transfer to Wkst. H-4"," Part II"," column as appropriate"," line 32)\"","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","TO BE COMPLETED BY INTERMEDIARY","","","","","","","",""
"","","","","","","","","","","",""
"5"," List separately each tentative settlement payment ","","","","Program","0.01","","","","","5.01"
""," after desk review.  Also show date of each ","","","","    to   ","0.02","","","","","5.02"
"","\" payment.  If none"," write \"\"NONE\"\" or enter     \"","","","","Provider","0.03","","","","","5.03"
""," a zero. (1)","","","","Provider","0.5","","","","","5.5"
"","","","","","    to   ","0.51","","","","","5.51"
"","","","","","Program","0.52","","","","","5.52"
""," Subtotal (sum of lines 5.01-5.49 minus sum  ","","","","","","","","","",""
""," of lines 5.50-5.98)      ","","","","","0.99","","","","","5.99"
"6"," Determine net settlement amount (balance due)","","","","Program","","","","","",""
""," based on the cost report (see instructions)","","","","    to   ","0.01","","","","",""
"","","","","","Provider","","","","","","6.01"
"","","","","","Provider","","","","","",""
"","","","","","    to   ","0.02","","","","",""
"","","","","","Program","","","","","","6.02"
"7"," TOTAL MEDICARE PROGRAM LIABILITY ","","","","","","","","","","7"
""," (see instructions) ","","","","","","","","","",""
"8"," Name of Contractor","","","","    Contractor Number","","","\"    Date:   Month"," Day"," Year\"","","","8"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","\" (1)  On lines 3"," 5"," and 6"," where an amount is due provider to program"," show the amount and date on which the provider\"","","","","","","","","","",""
"","\"      agrees to the amount of repayment"," even though total repayment is not accomplished until a later date.\"","","","","","","","","","",""
"Entity[558727] Report(H510000)","Entity[558727] Report(H510000[00000])","Entity[558727] Report(H510000[00100])","Entity[558727] Report(H510000[00200])", ,"Entity[558727] Report(H510000[00400])"
"Line(00100)", , ,"2280268", ,"2284368"
"Line(00400)", , ,"2280268", ,"2284368"
"Line(00700)", , ,"2280268"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
