" Multiply line 22 time line 23","","","","","24", , , , , , , , , , , , , , 
" Total direct GME amount (sum of lines 19 and 24)","","","","","25", , , , , , , , , , , , , , 
" COMPUTATION OF PROGRAM PATIENT LOAD","","Inpatient Part A","Managed Care","","", , , , , , , , , , , , , , 
" Inpatient days","","","","","26", , , , , , , , , , , , , , 
" Total inpatient days","","","","","27", , , , , , , , , , , , , , 
" Ratio of inpatient days to total inpatient days","","","","","28", , , , , , , , , , , , , , 
" Program direct GME amount","","","","","29", , , , , , , , , , , , , , 
" Reduction for nursing/allied health","","","","","30", , , , , , , , , , , , , , 
" Net Program direct GME amount","","","","","31", , , , , , , , , , , , , , 
" DIRECT MEDICAL EDUCATION COSTS FOR ESRD COMPOSITE RATE - TITLE XVIII ONLY (NURSING SCHOOL AND","","","","","", , , , , , , , , , , , , , 
" PARAMEDICAL EDUCATION COSTS)","","","","","", , , , , , , , , , , , , , 
"\" Renal dialysis direct medical education costs (from Worksheet B"," Part I"," sum of columns 20 and 23"," lines 74 and 94)\"","","","","","32", , , , , , , , , , , 
"\" Renal dialysis and home dialysis total charges (Worksheet C"," Part I"," column 8"," sum of lines 74 and 94)\"","","","","","33", , , , , , , , , , , 
" Ratio of direct medical education costs to total charges (line 32 � line 33)","","","","","34", , , , , , , , , , , , , , 
" Medicare outpatient ESRD charges  (see instructions)","","","","","35", , , , , , , , , , , , , , 
" Medicare outpatient ESRD direct medical education costs (line 34 x line 35)","","","","","36", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"DIRECT GRADUATE MEDICAL EDUCATION (GME) ","",""," PROVIDER CCN:"," PERIOD:"," WORKSHEET E-4", , , , , , , , , , , , , , 
"& ESRD OUTPATIENT DIRECT MEDICAL ","","",""," FROM ____________"," (Cont.)", , , , , , , , , , , , , , 
"EDUCATION COSTS","",""," ________________"," TO _______________","", , , , , , , , , , , , , , 
"Check","","   [ ]  Title V","","","", , , , , , , , , , , , , , 
"applicable","","   [ ]  Title XVIII","","","", , , , , , , , , , , , , , 
"box:","","   [ ]  Title XIX","","","", , , , , , , , , , , , , , 
"APPORTIONMENT OF MEDICARE REASONABLE COST OF GME","","","","","", , , , , , , , , , , , , , 
"Part A Reasonable Cost","","","","","", , , , , , , , , , , , , , 
" Reasonable cost  (see instructions)","","","","","37", , , , , , , , , , , , , , 
"\" Organ acquisition costs (Worksheet D-4"," Part III"," column 1"," line 69)\"","","","","","38", , , , , , , , , , , 
"\" Cost of teaching physicians (Worksheet D-5"," Part II"," column 3"," line 20)\"","","","","","39", , , , , , , , , , , 
" Primary payer payments  (see instructions)","","","","","40", , , , , , , , , , , , , , 
" Total Part A reasonable cost (sum of lines 37 through 39 minus line 40)","","","","","41", , , , , , , , , , , , , , 
"Part B Reasonable Cost ","","","","","", , , , , , , , , , , , , , 
" Reasonable cost  (see instructions)","","","","","42", , , , , , , , , , , , , , 
" Primary payer payments  (see instructions)","","","","","43", , , , , , , , , , , , , , 
" Total Part B reasonable cost (line 42 minus line 43)","","","","","44", , , , , , , , , , , , , , 
" Total reasonable cost (sum of lines 41 and 44)","","","","","45", , , , , , , , , , , , , , 
" Ratio of Part A reasonable cost to total reasonable cost (line 41 � line 45)","","","","","46", , , , , , , , , , , , , , 
" Ratio of Part B reasonable cost to total reasonable cost (line 44 � line 45)","","","","","47", , , , , , , , , , , , , , 
"ALLOCATION OF MEDICARE DIRECT GME COSTS BETWEEN PART A AND PART B","","","","","", , , , , , , , , , , , , , 
" Total program GME payment (line 31)","","","","","48", , , , , , , , , , , , , , 
" Part A Medicare GME payment (line 46 x 48)(Title XVIII only)  (see instructions)","","","","","49", , , , , , , , , , , , , , 
" Part B Medicare GME payment (line 47 x 48) (title XVIII only)  (see instructions)","","","","","50", , , , , , , , , , , , , , 
 ,"Entity[549652] Report(E40A180[00100])","Entity[549652] Report(E40A180[00200])","Entity[549652] Report(E40A180[00300])", , , , , , , , , , , , , , , , 
 ,"157", , , , , , , , , , , , , , , , , , 
 ,"157", , , , , , , , , , , , , , , , , , 
 ,"300", , , , , , , , , , , , , , , , , , 
 ,"157", , , , , , , , , , , , , , , , , , 
 ,"38","160","198", , , , , , , , , , , , , , , , 
 ,"20","84","104", , , , , , , , , , , , , , , , 
 , ,"2", , , , , , , , , , , , , , , , , 
 ,"20","86", , , , , , , , , , , , , , , , , 
 ,"9","103", , , , , , , , , , , , , , , , , 
 ,"8","106", , , , , , , , , , , , , , , , , 
 ,"12","98", , , , , , , , , , , , , , , , , 
 ,"12","98", , , , , , , , , , , , , , , , , 
 ,"105636","99872", , , , , , , , , , , , , , , , , 
 ,"1307769","9810436","11118205", , , , , , , , , , , , , , , , 
 ,"143", , , , , , , , , , , , , , , , , , 
 ,"11118205", , , , , , , , , , , , , , , , , , 
 ,"61997","6705", , , , , , , , , , , , , , , , , 
 ,"201761","201761", , , , , , , , , , , , , , , , , 
 ,"0","0", , , , , , , , , , , , , , , , , 
 ,"3416391","369480", , , , , , , , , , , , , , , , , 
 , ,"52208", , , , , , , , , , , , , , , , , 
 , , ,"3733663", , , , , , , , , , , , , , , , 
 ,"226408473", , , , , , , , , , , , , , , , , , 
 ,"100687", , , , , , , , , , , , , , , , , , 
 ,"226307786", , , , , , , , , , , , , , , , , , 
 ,"349883700", , , , , , , , , , , , , , , , , , 
 ,"23094", , , , , , , , , , , , , , , , , , 
 ,"349860606", , , , , , , , , , , , , , , , , , 
 ,"576168392", , , , , , , , , , , , , , , , , , 
 ,"0", , , , , , , , , , , , , , , , , , 
 ,"1", , , , , , , , , , , , , , , , , , 
 ,"3733663", , , , , , , , , , , , , , , , , , 
 ,"1466512", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
