"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A6000K0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[565497] Report(A6000K0)","Entity[565497] Report(A6000K0[00000])","Entity[565497] Report(A6000K0[00100])", ,"Entity[565497] Report(A6000K0[00300])","Entity[565497] Report(A6000K0[00400])","Entity[565497] Report(A6000K0[00500])", ,"Entity[565497] Report(A6000K0[00700])","Entity[565497] Report(A6000K0[00800])","Entity[565497] Report(A6000K0[00900])"
"Line(00200)","CAFETERIA","K", ,"11","541957","1405500", ,"10","541957","1405500"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A6000L0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[565497] Report(A6000L0)","Entity[565497] Report(A6000L0[00000])","Entity[565497] Report(A6000L0[00100])", ,"Entity[565497] Report(A6000L0[00300])", ,"Entity[565497] Report(A6000L0[00500])", ,"Entity[565497] Report(A6000L0[00700])", ,"Entity[565497] Report(A6000L0[00900])"
"Line(00200)","MEDICAL SUPPLY CHG TO PATIENT","L", ,"71", ,"1097487", ,"14", ,"1097487"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A6000M0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[565497] Report(A6000M0)","Entity[565497] Report(A6000M0[00000])","Entity[565497] Report(A6000M0[00100])", ,"Entity[565497] Report(A6000M0[00300])", ,"Entity[565497] Report(A6000M0[00500])", ,"Entity[565497] Report(A6000M0[00700])", ,"Entity[565497] Report(A6000M0[00900])"
"Line(00200)","DRUGS CHG TO PATIENT","M", ,"73", ,"28472847", ,"15", ,"28472847"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A6000O0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[565497] Report(A6000O0)","Entity[565497] Report(A6000O0[00000])","Entity[565497] Report(A6000O0[00100])", ,"Entity[565497] Report(A6000O0[00300])","Entity[565497] Report(A6000O0[00400])","Entity[565497] Report(A6000O0[00500])", ,"Entity[565497] Report(A6000O0[00700])","Entity[565497] Report(A6000O0[00800])","Entity[565497] Report(A6000O0[00900])"
"Line(00200)","DPU REHAB THERAPY","O", ,"66","99992","18469", ,"41","255344","47164"
"Line(00300)","DPU REHAB THERAPY","O", ,"67","81437","15042"
"Line(00400)","DPU REHAB THERAPY","O", ,"68","28633","5289"
"Line(00500)","DPU REHAB THERAPY","O", ,"17","45282","8364"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A6000R0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[565497] Report(A6000R0)","Entity[565497] Report(A6000R0[00000])","Entity[565497] Report(A6000R0[00100])", ,"Entity[565497] Report(A6000R0[00300])", ,"Entity[565497] Report(A6000R0[00500])", ,"Entity[565497] Report(A6000R0[00700])", ,"Entity[565497] Report(A6000R0[00900])"
"Line(00200)","HOSPITAL MEDICAL ADMIN (50990)","R", ,"5", ,"1873381", ,"59", ,"708357"
"Line(00300)","HOSPITAL MEDICAL ADMIN (50990)","R", , , , , ,"192", ,"1165024"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A6000T0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[565497] Report(A6000T0)","Entity[565497] Report(A6000T0[00000])","Entity[565497] Report(A6000T0[00100])", ,"Entity[565497] Report(A6000T0[00300])","Entity[565497] Report(A6000T0[00400])","Entity[565497] Report(A6000T0[00500])", ,"Entity[565497] Report(A6000T0[00700])","Entity[565497] Report(A6000T0[00800])","Entity[565497] Report(A6000T0[00900])"
"Line(00200)","NURSERY","T", ,"43","536238","155627", ,"30","536238","155627"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A6000U0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[565497] Report(A6000U0)","Entity[565497] Report(A6000U0[00000])","Entity[565497] Report(A6000U0[00100])", ,"Entity[565497] Report(A6000U0[00300])", ,"Entity[565497] Report(A6000U0[00500])", ,"Entity[565497] Report(A6000U0[00700])", ,"Entity[565497] Report(A6000U0[00900])","Entity[565497] Report(A6000U0[01000])"
"Line(00100)","INTERST EXPENSE","U", , , , , , , , ,"11"
"Line(00200)","INTERST EXPENSE","U", ,"1", ,"16804547", ,"5", ,"16804547","9"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A6000W0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[565497] Report(A6000W0)","Entity[565497] Report(A6000W0[00000])","Entity[565497] Report(A6000W0[00100])", ,"Entity[565497] Report(A6000W0[00300])", ,"Entity[565497] Report(A6000W0[00500])", ,"Entity[565497] Report(A6000W0[00700])", ,"Entity[565497] Report(A6000W0[00900])"
"Line(00100)","SUPPLY REBATE RECLS TO DEPTS","W", ,"5", ,"3111493", ,"4", ,"1207"
"Line(00200)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"5", ,"862"
"Line(00300)","SUPPLY REBATE RECLS TO DEPTS","W", ,"5", ,"3", ,"5", ,"20917"
"Line(00400)","SUPPLY REBATE RECLS TO DEPTS","W", ,"90", ,"4", ,"5", ,"2566"
"Line(00500)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"5", ,"978"
"Line(00600)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"5", ,"4565"
"Line(00700)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"5", ,"1016"
"Line(00800)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"5", ,"12340"
"Line(00900)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"5", ,"821"
"Line(01000)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"5", ,"26056"
"Line(01100)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"5", ,"4640"
"Line(01200)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"5", ,"73375"
"Line(01300)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"7", ,"27017"
"Line(01400)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"7", ,"2673"
"Line(01500)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"8", ,"339"
"Line(01600)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"9", ,"9800"
"Line(01700)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"10", ,"51137"
"Line(01800)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"11", ,"7952"
"Line(01900)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"12", ,"26"
"Line(02000)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"13", ,"1488"
"Line(02100)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"14", ,"19143"
"Line(02200)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"14", ,"1395"
"Line(02300)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"15", ,"478059"
"Line(02400)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"16", ,"3680"
"Line(02500)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"17", ,"151"
"Line(02600)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"21", ,"3272"
"Line(02700)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"23", ,"315"
"Line(02800)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"30", ,"81115"
"Line(02900)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"31", ,"42070"
"Line(03000)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"33", ,"18837"
"Line(03100)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"35", ,"8980"
"Line(03200)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"35", ,"4392"
"Line(03300)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"35", ,"6403"
"Line(03400)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"35", ,"7569"
"Line(03500)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"41", ,"3923"
"Line(03600)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"50", ,"587563"
"Line(03700)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"50", ,"50860"
"Line(03800)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"51", ,"9688"
"Line(03900)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"52", ,"5357"
"Line(04000)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"53", ,"32890"
"Line(04100)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"54", ,"42110"
"Line(04200)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"54", ,"400"
"Line(04300)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"56", ,"38296"
"Line(04400)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"57", ,"9692"
"Line(04500)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"58", ,"8486"
"Line(04600)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"59", ,"113342"
"Line(04700)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"60", ,"125043"
"Line(04800)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"60", ,"14563"
"Line(04900)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"63", ,"109200"
"Line(05000)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"65", ,"19211"
"Line(05100)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"66", ,"2429"
"Line(05200)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"67", ,"820"
"Line(05300)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"68", ,"434"
"Line(05400)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"69", ,"142326"
"Line(05500)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"70", ,"2274"
"Line(05600)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"74", ,"31819"
"Line(05700)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"76", ,"2654"
"Line(05800)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"76", ,"3113"
"Line(05900)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"76", ,"260"
"Line(06000)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"76", ,"41013"
"Line(06100)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"76", ,"197"
"Line(06200)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"76", ,"89"
"Line(06300)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"880"
"Line(06400)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"1"
"Line(06500)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"256813"
"Line(06600)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"292"
"Line(06700)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"134183"
"Line(06800)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"8062"
"Line(06900)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"5939"
"Line(07000)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"11822"
"Line(07100)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"13378"
"Line(07200)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"13150"
"Line(07300)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"9588"
"Line(07400)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"6513"
"Line(07500)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"4685"
"Line(07600)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"11971"
"Line(07700)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"3603"
"Line(07800)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"31108"
"Line(07900)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"4357"
"Line(08000)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"1639"
"Line(08100)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"1204"
"Line(08200)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"67298"
"Line(08300)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"34886"
"Line(08400)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"3930"
"Line(08500)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"367"
"Line(08600)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"90", ,"1380"
"Line(08700)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"91", ,"26977"
"Line(08800)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"92", ,"455"
"Line(08900)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"97", ,"24"
"Line(09000)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"101", ,"2540"
"Line(09100)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"105", ,"82"
"Line(09200)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"106", ,"28"
"Line(09300)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"107", ,"80"
"Line(09400)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"108", ,"218"
"Line(09500)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"109", ,"347"
"Line(09600)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"112", ,"17827"
"Line(09700)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"116", ,"3310"
"Line(09800)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"190", ,"2549"
"Line(09900)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"190", ,"7"
"Line(10000)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"190", ,"26975"
"Line(10100)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"190", ,"45013"
"Line(10200)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"190", ,"116"
"Line(10300)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"190", ,"283"
"Line(10400)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"192", ,"34412"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A600AB0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[565497] Report(A600AB0)","Entity[565497] Report(A600AB0[00000])","Entity[565497] Report(A600AB0[00100])", ,"Entity[565497] Report(A600AB0[00300])","Entity[565497] Report(A600AB0[00400])","Entity[565497] Report(A600AB0[00500])", ,"Entity[565497] Report(A600AB0[00700])","Entity[565497] Report(A600AB0[00800])","Entity[565497] Report(A600AB0[00900])"
"Line(00100)","TRANSPLANT PRE VS POST","AB", ,"105","152122","34462", ,"10","23384","5298"
"Line(00200)","TRANSPLANT PRE VS POST","AB", ,"106","286599","64927", ,"15","29800","6751"
"Line(00300)","TRANSPLANT PRE VS POST","AB", ,"107","109081","24711", ,"105","82203","18623"
"Line(00400)","TRANSPLANT PRE VS POST","AB", ,"108","206843","46859", ,"106","26018","5894"
"Line(00500)","TRANSPLANT PRE VS POST","AB", ,"109","222890","50494", ,"107","114668","25977"
"Line(00600)","TRANSPLANT PRE VS POST","AB", , , , , ,"109","443996","100584"
"Line(00700)","TRANSPLANT PRE VS POST","AB", , , , , ,"110","25629","5806"
"Line(00800)","TRANSPLANT PRE VS POST","AB", , , , , ,"112","131118","29704"
"Line(00900)","TRANSPLANT PRE VS POST","AB", , , , , ,"192","100719","22816"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A600AC0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[565497] Report(A600AC0)","Entity[565497] Report(A600AC0[00000])","Entity[565497] Report(A600AC0[00100])", ,"Entity[565497] Report(A600AC0[00300])","Entity[565497] Report(A600AC0[00400])","Entity[565497] Report(A600AC0[00500])", ,"Entity[565497] Report(A600AC0[00700])","Entity[565497] Report(A600AC0[00800])","Entity[565497] Report(A600AC0[00900])"
"Line(00100)","TRANSPLANT PHYSICIAN ORGAN ACQ","AC", ,"106","16007","495", ,"192","112032"
"Line(00200)","TRANSPLANT PHYSICIAN ORGAN ACQ","AC", ,"105","17688","624", ,"4", ,"4065"
"Line(00300)","TRANSPLANT PHYSICIAN ORGAN ACQ","AC", ,"107","56093","2066"
"Line(00400)","TRANSPLANT PHYSICIAN ORGAN ACQ","AC", ,"108","22244","880"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A600AG0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[565497] Report(A600AG0)","Entity[565497] Report(A600AG0[00000])","Entity[565497] Report(A600AG0[00100])", ,"Entity[565497] Report(A600AG0[00300])","Entity[565497] Report(A600AG0[00400])","Entity[565497] Report(A600AG0[00500])", ,"Entity[565497] Report(A600AG0[00700])","Entity[565497] Report(A600AG0[00800])","Entity[565497] Report(A600AG0[00900])"
"Line(00100)","NUTRITION SUPPORT TO LOC","AG", ,"90","293285","3864", ,"10","293285","3864"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A600AH0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[565497] Report(A600AH0)","Entity[565497] Report(A600AH0[00000])","Entity[565497] Report(A600AH0[00100])", ,"Entity[565497] Report(A600AH0[00300])","Entity[565497] Report(A600AH0[00400])","Entity[565497] Report(A600AH0[00500])", ,"Entity[565497] Report(A600AH0[00700])","Entity[565497] Report(A600AH0[00800])","Entity[565497] Report(A600AH0[00900])"
"Line(00100)","LAWSON AU 10637","AH", ,"69","249275","70313", ,"59","249275","70313"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A600AK0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[565497] Report(A600AK0)","Entity[565497] Report(A600AK0[00000])","Entity[565497] Report(A600AK0[00100])", ,"Entity[565497] Report(A600AK0[00300])","Entity[565497] Report(A600AK0[00400])", , ,"Entity[565497] Report(A600AK0[00700])","Entity[565497] Report(A600AK0[00800])"
"Line(00100)","HOSPITAL MEDICAL ADMIN (50993)","AK", ,"5","11580805", , ,"5","9945077"
"Line(00200)","HOSPITAL MEDICAL ADMIN (50993)","AK", , , , , ,"5","1593559"
"Line(00300)","HOSPITAL MEDICAL ADMIN (50993)","AK", , , , , ,"192","42169"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A600AO0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[565497] Report(A600AO0)","Entity[565497] Report(A600AO0[00000])","Entity[565497] Report(A600AO0[00100])", ,"Entity[565497] Report(A600AO0[00300])","Entity[565497] Report(A600AO0[00400])","Entity[565497] Report(A600AO0[00500])", ,"Entity[565497] Report(A600AO0[00700])","Entity[565497] Report(A600AO0[00800])","Entity[565497] Report(A600AO0[00900])"
"Line(00100)","RADIOLOGY NURSING","AO", ,"54","194671","1091", ,"54","768713","4344"
"Line(00200)","RADIOLOGY NURSING","AO", ,"54","51166","287", ,"90","6063"
"Line(00300)","RADIOLOGY NURSING","AO", ,"58","158870","891"
"Line(00400)","RADIOLOGY NURSING","AO", ,"57","285628","1601"
"Line(00500)","RADIOLOGY NURSING","AO", ,"56","84281","473"
"Line(00600)","RADIOLOGY NURSING","AO", ,"92","160","1"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A600AP0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[565497] Report(A600AP0)","Entity[565497] Report(A600AP0[00000])","Entity[565497] Report(A600AP0[00100])", ,"Entity[565497] Report(A600AP0[00300])","Entity[565497] Report(A600AP0[00400])","Entity[565497] Report(A600AP0[00500])", ,"Entity[565497] Report(A600AP0[00700])","Entity[565497] Report(A600AP0[00800])","Entity[565497] Report(A600AP0[00900])"
"Line(00100)","MEDICAL EDUCATION","AP", ,"21","3839009","1418362", ,"192","3839009","1418362"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A700001 ","-------------","-------------","-----------",""
"","","","","","Acquisitions","","","Disposals","","Fully"
"","","","","Beginning","","","","and","Ending","Depreciated"
"","","Description","","Balances","Purchases","Donation","Total","Retirements","Balance","Assets"
"","","","","1","2","3","4","5","6","7"
"Entity[565497] Report(A700001)", ,"Entity[565497] Report(A700001[00100])","Entity[565497] Report(A700001[00200])", ,"Entity[565497] Report(A700001[00400])","Entity[565497] Report(A700001[00500])","Entity[565497] Report(A700001[00600])"
"Line(00100)", ,"8850000", , , , ,"8850000"
"Line(00200)", ,"140126", , , , ,"140126"
"Line(00300)", ,"338397630", , , , ,"338397630"
"Line(00400)", , ,"13169120", ,"13169120","28891","13140229"
"Line(00500)", ,"159192392","26368430", ,"26368430","2150545","183410277"
"Line(00800)", ,"506580148","39537550", ,"39537550","2179436","543938262"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A700003 ","-------------","-------------","-----------",""
"","","","","","Acquisitions","","","Disposals","","Fully"
"","","","","Beginning","","","","and","Ending","Depreciated"
"","","Description","","Balances","Purchases","Donation","Total","Retirements","Balance","Assets"
"","","","","1","2","3","4","5","6","7"
"Entity[565497] Report(A700003)", ,"Entity[565497] Report(A700003[00100])","Entity[565497] Report(A700003[00200])","Entity[565497] Report(A700003[00300])","Entity[565497] Report(A700003[00400])", , , , ,"Entity[565497] Report(A700003[00900])", ,"Entity[565497] Report(A700003[01100])", , , ,"Entity[565497] Report(A700003[01500])"
