"----------"," Entity 562588"," Report A000000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"18", ,"28649", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"21", ,"7349", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"22", ,"25545", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"23", ,"1429", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"23", ,"1563", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"23", ,"390", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"30", ,"1229598", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"31", ,"248286", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"31", ,"258705", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"31", ,"34709", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"40", ,"72111", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"44", ,"66767", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"50", ,"3595156", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"50", ,"411495", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"52", ,"65196", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"53", ,"589186", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"53", ,"84851", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"54", ,"2505673", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"54", ,"113997", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"55", ,"459226", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"56", ,"68568", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"56", ,"14564", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"57", ,"25227", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"58", ,"423287", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"58", ,"27245", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"59", ,"159413", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"60", ,"126678", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"60", ,"494794", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"60", ,"590", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"60", ,"43590", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"63", ,"69576", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"63", ,"302", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"64", ,"4919", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"65", ,"219185", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"65", ,"36216", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"65", ,"32296", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"66", ,"23052", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"67", ,"4360", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"68", ,"71", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"68", ,"11885", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"68", ,"933", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"69", ,"4002", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"69", ,"1851", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"70", ,"61524", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"71", ,"53738", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"74", ,"525955", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"76", ,"905", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"90", ,"2168984", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"90", ,"15319", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"90", ,"11885", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"90", ,"83693", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"90", ,"111486", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"90", ,"9529", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"90", ,"233721", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"90", ,"7198", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"90", ,"33712", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"90", ,"4411", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"90", ,"91769", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"90", ,"77155", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"90", ,"1289", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"90", ,"3042", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"90", ,"351575", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"90", ,"573", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"90", ,"24691", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"90", ,"414618", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"90", ,"1038", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"90", ,"337144", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"91", ,"175005", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"91", ,"11020", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"94", ,"2164", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"101", ,"14073", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"101", ,"5984", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"105", ,"1623", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"106", ,"7011", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"112", ,"12533", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"116", ,"2263", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"116", ,"151", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"190", ,"8629", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"190", ,"4107", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"191", ,"66465", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"191", ,"329834", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"191", ,"15951", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"194", ,"309", , , , , , , , , , 
"EQUIPMENT DEPRECIATION","B", , , , , ,"194", ,"245", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 562588"," Report A6000C0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[562588] Report(A6000C0[00000])","Entity[562588] Report(A6000C0[00100])", ,"Entity[562588] Report(A6000C0[00300])", ,"Entity[562588] Report(A6000C0[00500])", ,"Entity[562588] Report(A6000C0[00700])", ,"Entity[562588] Report(A6000C0[00900])","Entity[562588] Report(A6000C0[01000])", , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", ,"1", ,"8197977", ,"5", ,"234871","9", , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"7", ,"697605", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"22", ,"3596", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"30", ,"1970", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"50", ,"110600", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"54", ,"372184", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"60", ,"133198", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"63", ,"3774", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"66", ,"217743", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"67", ,"52686", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"68", ,"6051", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"74", ,"451779", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"90", ,"822170", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"90", ,"68505", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"90", ,"222757", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"90", ,"220409", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"90", ,"334021", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"90", ,"61300", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"90", ,"150235", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"90", ,"130033", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"90", ,"272566", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"90", ,"2200", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"90", ,"1122859", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"90", ,"95968", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"90", ,"1649407", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"90", ,"211196", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"90", ,"4200", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"101", ,"31212", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"116", ,"135202", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"116", ,"31212", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"191", ,"137039", , , , , , , , , , 
"BLDG RENT AND LEASE EXPENSE","C", , , , , ,"191", ,"209429", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 562588"," Report A6000D0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[562588] Report(A6000D0[00000])","Entity[562588] Report(A6000D0[00100])", ,"Entity[562588] Report(A6000D0[00300])", ,"Entity[562588] Report(A6000D0[00500])", ,"Entity[562588] Report(A6000D0[00700])", ,"Entity[562588] Report(A6000D0[00900])","Entity[562588] Report(A6000D0[01000])", , , , , , , , , 
"EQUIPMENT RENTAL","D", ,"2", ,"5484175", ,"5", ,"132264","9", , , , , , , , , 
"EQUIPMENT RENTAL","D", ,"2", ,"380506", ,"7", ,"33721","9", , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"7", ,"1071", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"8", ,"43", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"9", ,"1473", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"9", ,"1296", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"10", ,"23428", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"10", ,"348", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"13", ,"10132", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"13", ,"3334", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"14", ,"592791", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"14", ,"22878", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"15", ,"848743", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"15", ,"183983", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"17", ,"9153", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"17", ,"5758", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"18", ,"2866", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"21", ,"27589", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"22", ,"6998", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"23", ,"135", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"23", ,"344", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"23", ,"243", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"30", ,"56957", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"31", ,"10070", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"31", ,"10141", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"31", ,"12237", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"40", ,"20911", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"43", ,"655", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"44", ,"29793", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"50", ,"946906", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"50", ,"15287", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"52", ,"3080", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"53", ,"56531", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"53", ,"800", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"54", ,"220503", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"54", ,"3118", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"55", ,"529765", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"56", ,"66877", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"56", ,"14", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"57", ,"3138", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"58", ,"269842", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"59", ,"13729", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"60", ,"211622", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"60", ,"4561", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"60", ,"4820", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"60", ,"77922", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"63", ,"34739", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"64", ,"55020", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"65", ,"81338", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"65", ,"265", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"65", ,"10267", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"66", ,"12280", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"66", ,"590", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"67", ,"341", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"68", ,"1097", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"68", ,"1413", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"68", ,"498", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"69", ,"928", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"70", ,"9851", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"71", ,"5995", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"74", ,"49964", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"76", ,"60", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"90", ,"307953", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"90", ,"11195", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"90", ,"5926", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"90", ,"5812", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"90", ,"9602", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"90", ,"3128", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"90", ,"163631", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"90", ,"1755", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"90", ,"6677", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"90", ,"5934", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"90", ,"3868", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"90", ,"5733", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"90", ,"687", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"90", ,"737", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"90", ,"102228", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"90", ,"2291", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"90", ,"2114", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"90", ,"177407", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"90", ,"4189", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"90", ,"37533", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"91", ,"12690", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"91", ,"2906", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"94", ,"82483", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"101", ,"25845", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"101", ,"12592", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"105", ,"2387", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"106", ,"2192", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"116", ,"65135", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"116", ,"8357", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"190", ,"2993", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"191", ,"7954", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"191", ,"28546", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"191", ,"2482", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"194", ,"2894", , , , , , , , , , 
"EQUIPMENT RENTAL","D", , , , , ,"194", ,"4309", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 562588"," Report A6000E0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[562588] Report(A6000E0[00000])","Entity[562588] Report(A6000E0[00100])", ,"Entity[562588] Report(A6000E0[00300])", ,"Entity[562588] Report(A6000E0[00500])", ,"Entity[562588] Report(A6000E0[00700])", ,"Entity[562588] Report(A6000E0[00900])", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", ,"4", ,"96293554", ,"5", ,"6747419", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", ,"4", ,"5410884", ,"7", ,"169975", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"8", ,"11134", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"9", ,"313590", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"9", ,"168690", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"10", ,"993840", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"10", ,"147818", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"13", ,"1466949", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"13", ,"154128", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"14", ,"411697", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"14", ,"60827", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"15", ,"1635991", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"15", ,"359429", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"15", ,"405", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"17", ,"897645", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"17", ,"137052", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"18", ,"316089", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"21", ,"3723737", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"22", ,"350829", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"23", ,"11991", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"23", ,"20257", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"23", ,"80584", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"23", ,"41168", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"30", ,"6435168", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"31", ,"1953274", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"31", ,"936760", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"31", ,"384550", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"40", ,"352847", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"43", ,"23837", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"44", ,"472226", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"50", ,"5851649", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"50", ,"604841", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"52", ,"553161", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"53", ,"6142488", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"53", ,"614508", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"54", ,"4049780", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"54", ,"154688", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"55", ,"938738", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"56", ,"236932", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"56", ,"2965", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"57", ,"249331", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"57", ,"57033", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"58", ,"243537", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"58", ,"37382", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"59", ,"591087", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"60", ,"1758757", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"60", ,"1686747", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"60", ,"47507", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"60", ,"206118", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"63", ,"875468", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"63", ,"3", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"64", ,"286029", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"65", ,"1874148", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"65", ,"71237", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"65", ,"205661", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"66", ,"690222", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"66", ,"39284", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"67", ,"214275", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"67", ,"33677", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"68", ,"149507", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"68", ,"151179", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"68", ,"11857", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"69", ,"147304", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"70", ,"1121540", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"74", ,"1180506", , , , , , , , , , 
