"----------"," Entity 572966"," Report A000000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"17", ,"1929", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"43597", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"779930", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"190983", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"17586", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"7720", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"290351", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"62565", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"17082", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"15416", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"86233", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"34485", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"13933", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"48537", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"10966", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"5445", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"76136", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"2641", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"13145", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"17064", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"163019", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"7971", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"241240", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"35605", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"3920", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"32589", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"4774", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"130474", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"128703", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"45744", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"19643", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"13754", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"18", ,"50764", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"22", ,"18153", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"30", ,"1336430", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"31", ,"166412", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"31", ,"1422272", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"31", ,"317146", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"50", ,"5440055", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"51", ,"221275", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"52", ,"752647", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"53", ,"501834", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"54", ,"2709615", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"57", ,"988704", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"58", ,"3209783", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"59", ,"1597364", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"60", ,"1969320", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"62", ,"274534", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"65", ,"554896", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"66", ,"197639", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"68", ,"7706", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"69", ,"527671", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"70", ,"245411", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"74", ,"44406", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"76", ,"54668", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"76", ,"597900", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"76", ,"5277", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"76", ,"144320", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"76", ,"528484", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"90", ,"1346187", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"90", ,"1161581", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"91", ,"446834", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"92", ,"6285", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"95", ,"132018", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"105", ,"3593", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"190", ,"83202", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"191", ,"16496", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"191", ,"1215952", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"191", ,"691492", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"191", ,"1357621", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"194", ,"53443", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"194", ,"2224", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"194", ,"129511", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"194", ,"62411", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"194", ,"22046", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"194", ,"6329", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"194", ,"7188", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"194", ,"1964", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"194", ,"52514", , , , , , , , , , 
"DEPRECIATAION EXPENSES","D", , , , , ,"194", ,"133196", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572966"," Report A6000E0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572966] Report(A6000E0[00000])","Entity[572966] Report(A6000E0[00100])", ,"Entity[572966] Report(A6000E0[00300])","Entity[572966] Report(A6000E0[00400])","Entity[572966] Report(A6000E0[00500])", ,"Entity[572966] Report(A6000E0[00700])","Entity[572966] Report(A6000E0[00800])","Entity[572966] Report(A6000E0[00900])", , , , , , , , , , 
"NURSE FLOAT POOL","E", ,"30","3390163","985243", ,"13","6125600","1768216", , , , , , , , , , 
"NURSE FLOAT POOL","E", ,"31","655245","190426", , , , , , , , , , , , , , 
"NURSE FLOAT POOL","E", ,"31","1146554","333209", , , , , , , , , , , , , , 
"NURSE FLOAT POOL","E", ,"31","230715","67050", , , , , , , , , , , , , , 
"NURSE FLOAT POOL","E", ,"43","324230","94227", , , , , , , , , , , , , , 
"NURSE FLOAT POOL","E", ,"191","7253","2108", , , , , , , , , , , , , , 
"NURSE FLOAT POOL","E", ,"90","371440","95953", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572966"," Report A6000F0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572966] Report(A6000F0[00000])","Entity[572966] Report(A6000F0[00100])", ,"Entity[572966] Report(A6000F0[00300])","Entity[572966] Report(A6000F0[00400])","Entity[572966] Report(A6000F0[00500])", ,"Entity[572966] Report(A6000F0[00700])","Entity[572966] Report(A6000F0[00800])","Entity[572966] Report(A6000F0[00900])", , , , , , , , , , 
"GENERAL ADMINISTRATIVE EXPENSE","F", ,"4","6466635", , ,"5","6466635", , , , , , , , , , , 
"GENERAL ADMINISTRATIVE EXPENSE","F", ,"4", ,"194443", ,"5", ,"194443", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572966"," Report A6000G0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572966] Report(A6000G0[00000])","Entity[572966] Report(A6000G0[00100])", ,"Entity[572966] Report(A6000G0[00300])","Entity[572966] Report(A6000G0[00400])","Entity[572966] Report(A6000G0[00500])", ,"Entity[572966] Report(A6000G0[00700])","Entity[572966] Report(A6000G0[00800])","Entity[572966] Report(A6000G0[00900])", , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"4", ,"276430", ,"4","379164", , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"5","45454","13533", ,"5","10952567","4028843", , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"5","656913","176071", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"5","43701","6819", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"5","245015","95061", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"5","217418","58080", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"5","203438","55231", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"5","5734","1784", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"5","74028","4026", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"5","54725","5676", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"6","71690","21968", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"7","688097","232962", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"7","6025","2727", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"7","86829","33241", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"7","4437","2008", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"8","2917","898", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"9","229815","83925", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"9","48711","21756", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"9","4060","1837", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"10","50283","15281", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"11","12059","3734", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"13","227205","32107", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"14","42208","12915", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"15","376757","115994", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"16","446323","117584", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"17","14185","4369", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","30177","6643", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","87305","24629", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","76935","18192", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","20891","6372", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","4496","1395", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","22362","7136", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","39579","12072", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","11363","3466", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","8581","2552", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","62420","18565", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","75385","6279", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","451","138", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","26928","8213", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","5551","1651", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","1991","592", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","67825","20688", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","3385","1032", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","13148","3994", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","18812","5738", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","35697","11394", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","89","26", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","84117","12195", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","11036","3282", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","31432","9611", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","10435","3331", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","2131","634", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","18476","5892", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","63605","19581", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","5779","1770", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","41","13", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","33427","10669", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","341","104", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","51435","15688", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","159866","3540", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","17080","5231", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"18","739","226", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"22","9354","2810", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"30","287428","90538", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"31","81797","26109", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"31","113594","36259", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"31","31815","10155", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"50","302438","89953", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"51","55757","16640", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"52","42057","13425", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"53","35007","10464", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"54","137021","41949", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"57","20617","6239", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"58","44190","13413", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"59","19203","6129", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"60","367633","112633", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"62","72354","22261", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"65","94851","29076", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"66","57697","17433", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"68","13496","3979", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"69","14507","4567", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"70","54527","16515", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"74","13800","4405", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"76","75527","18284", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"76","61090","18633", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"76","981","313", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"76","18505","5558", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"76","14416","4602", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"76","12475","3821", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"90","456511","139129", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"90","256853","78379", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"91","96286","29330", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"92","8009","2556", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"94","2771","884", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"95","21745","6941", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"105","4574","1360", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"106","7934","2360", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"107","14859","4419", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"108","10294","3061", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"190","8804","2703", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"191","7510","2337", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"191","5106","1630", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"191","4675","1440", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"191","82185","25492", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"191","2993","929", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"191","10183","3179", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"191","915","278", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"194","1018078","418277", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"194","522170","151721", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"194","698657","171834", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"194","403651","507206", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"194","1732","528", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"194","816","254", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"194","54781","10048", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"194","3185","947", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"194","1459","466", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"194","7023","2164", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"194","306","92", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"194","61764","5201", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"194","247358","62463", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"194","2107","654", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"194","22840","6881", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"194","64698","19816", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"194","10837","3319", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"194","194411","85771", , , , , , , , , , , , , , 
"EXECUTIVE COMPENSATION","G", ,"194","176","80", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572966"," Report A6000H0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572966] Report(A6000H0[00000])","Entity[572966] Report(A6000H0[00100])", ,"Entity[572966] Report(A6000H0[00300])","Entity[572966] Report(A6000H0[00400])","Entity[572966] Report(A6000H0[00500])", ,"Entity[572966] Report(A6000H0[00700])","Entity[572966] Report(A6000H0[00800])","Entity[572966] Report(A6000H0[00900])", , , , , , , , , , 
"DIRECTOR OF VOLUNTEERS","H", ,"5","61242","14790", ,"190","61242","14790", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572966"," Report A6000I0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572966] Report(A6000I0[00000])","Entity[572966] Report(A6000I0[00100])", ,"Entity[572966] Report(A6000I0[00300])","Entity[572966] Report(A6000I0[00400])","Entity[572966] Report(A6000I0[00500])", ,"Entity[572966] Report(A6000I0[00700])","Entity[572966] Report(A6000I0[00800])","Entity[572966] Report(A6000I0[00900])", , , , , , , , , , 
"GUEST SERVICES","I", ,"5","1499540","1231608", ,"194","2654240","1505944", , , , , , , , , , 
"GUEST SERVICES","I", ,"5","800817","198695", , , , , , , , , , , , , , 
"GUEST SERVICES","I", ,"13","114514","23331", , , , , , , , , , , , , , 
"GUEST SERVICES","I", ,"17","239181","52261", , , , , , , , , , , , , , 
"GUEST SERVICES","I", ,"66","188","49", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572966"," Report A6000J0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572966] Report(A6000J0[00000])","Entity[572966] Report(A6000J0[00100])", ,"Entity[572966] Report(A6000J0[00300])", ,"Entity[572966] Report(A6000J0[00500])", ,"Entity[572966] Report(A6000J0[00700])", ,"Entity[572966] Report(A6000J0[00900])", , , , , , , , , , 
"INSURANCE EXPENSE","J", ,"3", ,"6035078", ,"5", ,"6035078", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572966"," Report A6000K0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572966] Report(A6000K0[00000])","Entity[572966] Report(A6000K0[00100])", ,"Entity[572966] Report(A6000K0[00300])", ,"Entity[572966] Report(A6000K0[00500])", ,"Entity[572966] Report(A6000K0[00700])", ,"Entity[572966] Report(A6000K0[00900])", , , , , , , , , , 
"RESEARACH COMMITTED COST SHARING","K", ,"191", ,"438401", ,"191", ,"527830", , , , , , , , , , 
"RESEARACH COMMITTED COST SHARING","K", ,"191", ,"89429", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572966"," Report A6000L0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
