"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A6000F0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A6000F0)","Entity[563706] Report(A6000F0[00000])","Entity[563706] Report(A6000F0[00100])", ,"Entity[563706] Report(A6000F0[00300])", ,"Entity[563706] Report(A6000F0[00500])", ,"Entity[563706] Report(A6000F0[00700])", ,"Entity[563706] Report(A6000F0[00900])"
"Line(00100)","PHYSICIAN FEES","F", , , , , ,"5", ,"403222"
"Line(00200)","PHYSICIAN FEES","F", , , , , ,"16", ,"1628003"
"Line(00300)","PHYSICIAN FEES","F", , , , , ,"18", ,"335292"
"Line(00400)","PHYSICIAN FEES","F", , , , , ,"22", ,"6247284"
"Line(00500)","PHYSICIAN FEES","F", , , , , ,"31", ,"8500"
"Line(00600)","PHYSICIAN FEES","F", , , , , ,"32", ,"665857"
"Line(00700)","PHYSICIAN FEES","F", , , , , ,"41", ,"71114"
"Line(00800)","PHYSICIAN FEES","F", , , , , ,"53", ,"2736874"
"Line(00900)","PHYSICIAN FEES","F", , , , , ,"69", ,"4583"
"Line(01000)","PHYSICIAN FEES","F", , , , , ,"55", ,"235017"
"Line(01100)","PHYSICIAN FEES","F", , , , , ,"90", ,"1947"
"Line(01200)","PHYSICIAN FEES","F", , , , , ,"69", ,"568321"
"Line(01300)","PHYSICIAN FEES","F", , , , , ,"76", ,"211258"
"Line(01400)","PHYSICIAN FEES","F", , , , , ,"76", ,"868892"
"Line(01500)","PHYSICIAN FEES","F", , , , , ,"90", ,"1559172"
"Line(01600)","PHYSICIAN FEES","F", , , , , ,"90", ,"24061"
"Line(01700)","PHYSICIAN FEES","F", , , , , ,"90", ,"504898"
"Line(01800)","PHYSICIAN FEES","F", , , , , ,"91", ,"689203"
"Line(01900)","PHYSICIAN FEES","F", , , , , ,"93", ,"245895"
"Line(02000)","PHYSICIAN FEES","F", , , , , ,"194", ,"611646"
"Line(02100)","PHYSICIAN FEES","F", ,"5", ,"6143821"
"Line(02200)","PHYSICIAN FEES","F", ,"22", ,"11362372"
"Line(02300)","PHYSICIAN FEES","F", ,"20", ,"65672"
"Line(02400)","PHYSICIAN FEES","F", ,"23", ,"49174"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A6000H0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A6000H0)","Entity[563706] Report(A6000H0[00000])","Entity[563706] Report(A6000H0[00100])", ,"Entity[563706] Report(A6000H0[00300])","Entity[563706] Report(A6000H0[00400])","Entity[563706] Report(A6000H0[00500])", ,"Entity[563706] Report(A6000H0[00700])","Entity[563706] Report(A6000H0[00800])","Entity[563706] Report(A6000H0[00900])","Entity[563706] Report(A6000H0[01000])"
"Line(00100)","SIMPLICATION","H", ,"65","78022", , ,"91","78022"
"Line(00200)","SIMPLICATION","H", ,"65", ,"13180", ,"91", ,"13180"
"Line(00300)","SIMPLICATION","H", ,"105", ,"3198774", ,"107", ,"3198774"
"Line(00400)","SIMPLICATION","H", ,"109", ,"737760", ,"107", ,"737760"
"Line(00500)","SIMPLICATION","H", ,"110", ,"321192", ,"107", ,"321192"
"Line(00600)","SIMPLICATION","H", ,"106", ,"1706207", ,"108", ,"1706207"
"Line(00700)","SIMPLICATION","H", ,"9","582445", , ,"9","582445"
"Line(00800)","SIMPLICATION","H", ,"9", ,"207172", ,"9", ,"207172"
"Line(00900)","SIMPLICATION","H", ,"1", ,"82154019", ,"5", ,"82154019","9"
"Line(01000)","SIMPLICATION","H", ,"4", ,"82759937", ,"5", ,"82759937"
"Line(01100)","SIMPLICATION","H", ,"4", ,"1721391", ,"5", ,"1721391"
"Line(01200)","SIMPLICATION","H", ,"22", ,"209658", ,"5", ,"209658"
"Line(01300)","SIMPLICATION","H", ,"67", ,"1199759", ,"66", ,"1199759"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A6000I0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A6000I0)","Entity[563706] Report(A6000I0[00000])","Entity[563706] Report(A6000I0[00100])", ,"Entity[563706] Report(A6000I0[00300])", ,"Entity[563706] Report(A6000I0[00500])", ,"Entity[563706] Report(A6000I0[00700])", ,"Entity[563706] Report(A6000I0[00900])"
"Line(00100)","RECLASS E & E RENT","I", ,"22", ,"148793", ,"5", ,"148793"
"Line(00200)","RECLASS E & E RENT","I", ,"60", ,"34865", ,"5", ,"34865"
"Line(00300)","RECLASS E & E RENT","I", ,"67", ,"4263", ,"5", ,"4263"
"Line(00400)","RECLASS E & E RENT","I", ,"76", ,"410070", ,"5", ,"410070"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A6000J0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A6000J0)","Entity[563706] Report(A6000J0[00000])","Entity[563706] Report(A6000J0[00100])", ,"Entity[563706] Report(A6000J0[00300])", ,"Entity[563706] Report(A6000J0[00500])", ,"Entity[563706] Report(A6000J0[00700])", ,"Entity[563706] Report(A6000J0[00900])"
"Line(00100)","SHY FRINGE BENEFITS","J", ,"4", ,"3309678", ,"5", ,"3309678"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A6000K0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A6000K0)","Entity[563706] Report(A6000K0[00000])","Entity[563706] Report(A6000K0[00100])", ,"Entity[563706] Report(A6000K0[00300])","Entity[563706] Report(A6000K0[00400])","Entity[563706] Report(A6000K0[00500])", ,"Entity[563706] Report(A6000K0[00700])","Entity[563706] Report(A6000K0[00800])","Entity[563706] Report(A6000K0[00900])"
"Line(00100)","ANESTHESIA PARAMED ED","K", ,"23","1103544", , ,"53","1103544"
"Line(00200)","ANESTHESIA PARAMED ED","K", ,"23", ,"12898", ,"60", ,"12898"
"Line(00300)","ANESTHESIA PARAMED ED","K", ,"23", ,"804567", ,"21", ,"804567"
"Line(00400)","ANESTHESIA PARAMED ED","K", ,"23", ,"185080", ,"21", ,"185080"
"Line(00500)","ANESTHESIA PARAMED ED","K", ,"23", ,"11736", ,"15", ,"11736"
"Line(00600)","ANESTHESIA PARAMED ED","K", ,"23", ,"22585", ,"15", ,"22585"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A6000M0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A6000M0)","Entity[563706] Report(A6000M0[00000])","Entity[563706] Report(A6000M0[00100])", ,"Entity[563706] Report(A6000M0[00300])", ,"Entity[563706] Report(A6000M0[00500])", ,"Entity[563706] Report(A6000M0[00700])", ,"Entity[563706] Report(A6000M0[00900])"
"Line(00100)","FEDERAL DIRECT GRANT","M", ,"191", ,"1635963", ,"5", ,"1635963"
"Line(00200)","FEDERAL DIRECT GRANT","M", ,"58", ,"113", ,"191", ,"113"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A6000N0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A6000N0)","Entity[563706] Report(A6000N0[00000])","Entity[563706] Report(A6000N0[00100])", ,"Entity[563706] Report(A6000N0[00300])", ,"Entity[563706] Report(A6000N0[00500])", ,"Entity[563706] Report(A6000N0[00700])", ,"Entity[563706] Report(A6000N0[00900])"
"Line(00100)","RECLASS I & R COSTS","N", ,"21", ,"426224", ,"5", ,"426224"
"Line(00200)","RECLASS I & R COSTS","N", ,"21", ,"55922728", ,"22", ,"55922728"
"Line(00300)","RECLASS I & R COSTS","N", ,"21", ,"2069", ,"31", ,"2069"
"Line(00400)","RECLASS I & R COSTS","N", ,"21", ,"137039", ,"55", ,"137039"
"Line(00500)","RECLASS I & R COSTS","N", ,"21", ,"15225", ,"70", ,"15225"
"Line(00600)","RECLASS I & R COSTS","N", ,"21", ,"23095", ,"73", ,"23095"
"Line(00700)","RECLASS I & R COSTS","N", ,"21", ,"899262", ,"90", ,"899262"
"Line(00800)","RECLASS I & R COSTS","N", ,"21", ,"3695", ,"90", ,"3695"
"Line(00900)","RECLASS I & R COSTS","N", ,"21", ,"6913", ,"194", ,"6913"
"Line(01000)","RECLASS I & R COSTS","N", ,"21", ,"10716", ,"194", ,"10716"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A6000O0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A6000O0)","Entity[563706] Report(A6000O0[00000])","Entity[563706] Report(A6000O0[00100])", ,"Entity[563706] Report(A6000O0[00300])","Entity[563706] Report(A6000O0[00400])","Entity[563706] Report(A6000O0[00500])", ,"Entity[563706] Report(A6000O0[00700])","Entity[563706] Report(A6000O0[00800])","Entity[563706] Report(A6000O0[00900])"
"Line(00100)","SHY-PASTORAL EDUCATION","O", ,"23","11025", , ,"5","11025"
"Line(00200)","SHY-PASTORAL EDUCATION","O", ,"23", ,"684", ,"5", ,"684"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A6000P0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A6000P0)","Entity[563706] Report(A6000P0[00000])","Entity[563706] Report(A6000P0[00100])", ,"Entity[563706] Report(A6000P0[00300])", ,"Entity[563706] Report(A6000P0[00500])", ,"Entity[563706] Report(A6000P0[00700])", ,"Entity[563706] Report(A6000P0[00900])"
"Line(00100)","RECLASS WOMENS WING RENT","P", ,"7", ,"44620", ,"5", ,"44620"
"Line(00200)","RECLASS WOMENS WING RENT","P", ,"30", ,"1010012", ,"5", ,"1010012"
"Line(00300)","RECLASS WOMENS WING RENT","P", ,"34", ,"115303", ,"5", ,"115303"
"Line(00400)","RECLASS WOMENS WING RENT","P", ,"76", ,"99082", ,"5", ,"99082"
"Line(00500)","RECLASS WOMENS WING RENT","P", ,"58", ,"115303", ,"5", ,"115303"
"Line(00600)","RECLASS WOMENS WING RENT","P", ,"91", ,"108343", ,"5", ,"108343"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A6000Q0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A6000Q0)","Entity[563706] Report(A6000Q0[00000])","Entity[563706] Report(A6000Q0[00100])", ,"Entity[563706] Report(A6000Q0[00300])", ,"Entity[563706] Report(A6000Q0[00500])", ,"Entity[563706] Report(A6000Q0[00700])", ,"Entity[563706] Report(A6000Q0[00900])"
"Line(00100)","RECLASS UNIVERSITY CENTER COSTS","Q", ,"194", ,"685612", ,"7", ,"685612"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A6000R0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A6000R0)","Entity[563706] Report(A6000R0[00000])","Entity[563706] Report(A6000R0[00100])", ,"Entity[563706] Report(A6000R0[00300])","Entity[563706] Report(A6000R0[00400])","Entity[563706] Report(A6000R0[00500])", ,"Entity[563706] Report(A6000R0[00700])","Entity[563706] Report(A6000R0[00800])","Entity[563706] Report(A6000R0[00900])"
"Line(00100)","CASE MANAGEMENT","R", ,"5","4939241", , ,"17","4939241"
"Line(00200)","CASE MANAGEMENT","R", ,"5", ,"876108", ,"17", ,"876108"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A6000S0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A6000S0)","Entity[563706] Report(A6000S0[00000])","Entity[563706] Report(A6000S0[00100])", ,"Entity[563706] Report(A6000S0[00300])", ,"Entity[563706] Report(A6000S0[00500])", ,"Entity[563706] Report(A6000S0[00700])", ,"Entity[563706] Report(A6000S0[00900])"
"Line(00100)","SNF PT COSTS","S", ,"66", ,"297338", ,"44", ,"297338"
"Line(00200)","SNF PT COSTS","S", ,"67", ,"243238", ,"44", ,"243238"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A6000T0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A6000T0)","Entity[563706] Report(A6000T0[00000])","Entity[563706] Report(A6000T0[00100])", ,"Entity[563706] Report(A6000T0[00300])", ,"Entity[563706] Report(A6000T0[00500])", ,"Entity[563706] Report(A6000T0[00700])", ,"Entity[563706] Report(A6000T0[00900])"
"Line(00100)","RECLASS LSK RENT","T", ,"18", ,"199536", ,"7", ,"199536"
"Line(00200)","RECLASS LSK RENT","T", ,"22", ,"94537", ,"7", ,"94537"
"Line(00300)","RECLASS LSK RENT","T", ,"90", ,"127496", ,"7", ,"127496"
"Line(00400)","RECLASS LSK RENT","T", ,"107", ,"51011", ,"7", ,"51011"
"Line(00500)","RECLASS LSK RENT","T", ,"112", ,"34574", ,"7", ,"34574"
"Line(00600)","RECLASS LSK RENT","T", ,"192", ,"1522889", ,"7", ,"1522889"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A6000V0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A6000V0)","Entity[563706] Report(A6000V0[00000])","Entity[563706] Report(A6000V0[00100])", ,"Entity[563706] Report(A6000V0[00300])","Entity[563706] Report(A6000V0[00400])","Entity[563706] Report(A6000V0[00500])", ,"Entity[563706] Report(A6000V0[00700])","Entity[563706] Report(A6000V0[00800])","Entity[563706] Report(A6000V0[00900])"
"Line(00100)","IV TEAM SALARIES","V", ,"30","1446874", , ,"71","1446874"
"Line(00200)","IV TEAM SALARIES","V", ,"30", ,"107018", ,"71", ,"107018"
"Line(00300)","IV TEAM SALARIES","V", ,"30","804808", , ,"64","804808"
"Line(00400)","IV TEAM SALARIES","V", ,"30", ,"59291", ,"64", ,"59291"
"Line(00500)","IV TEAM SALARIES","V", ,"71", ,"457732", ,"64", ,"457732"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A6000W0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A6000W0)","Entity[563706] Report(A6000W0[00000])","Entity[563706] Report(A6000W0[00100])", ,"Entity[563706] Report(A6000W0[00300])", ,"Entity[563706] Report(A6000W0[00500])", ,"Entity[563706] Report(A6000W0[00700])", ,"Entity[563706] Report(A6000W0[00900])"
"Line(00100)","OUTSIDE BUILDING COSTS","W", ,"5", ,"32798", ,"5", ,"32798"
"Line(00200)","OUTSIDE BUILDING COSTS","W", ,"5", ,"13671", ,"7", ,"13671"
"Line(00300)","OUTSIDE BUILDING COSTS","W", ,"5", ,"121353", ,"7", ,"121353"
"Line(00400)","OUTSIDE BUILDING COSTS","W", ,"6", ,"44694", ,"7", ,"44694"
"Line(00500)","OUTSIDE BUILDING COSTS","W", ,"10", ,"6491", ,"7", ,"6491"
"Line(00600)","OUTSIDE BUILDING COSTS","W", ,"65", ,"183453", ,"7", ,"183453"
"Line(00700)","OUTSIDE BUILDING COSTS","W", ,"73", ,"83422", ,"7", ,"83422"
"Line(00800)","OUTSIDE BUILDING COSTS","W", ,"76", ,"75626", ,"7", ,"75626"
"Line(00900)","OUTSIDE BUILDING COSTS","W", ,"90", ,"230286", ,"7", ,"230286"
"Line(01000)","OUTSIDE BUILDING COSTS","W", ,"90", ,"135967", ,"7", ,"135967"
"Line(01100)","OUTSIDE BUILDING COSTS","W", ,"90", ,"9827", ,"7", ,"9827"
"Line(01200)","OUTSIDE BUILDING COSTS","W", ,"93", ,"321523", ,"7", ,"321523"
"Line(01300)","OUTSIDE BUILDING COSTS","W", ,"194", ,"94464", ,"7", ,"94464"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A6000Y0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A6000Y0)","Entity[563706] Report(A6000Y0[00000])","Entity[563706] Report(A6000Y0[00100])", ,"Entity[563706] Report(A6000Y0[00300])","Entity[563706] Report(A6000Y0[00400])","Entity[563706] Report(A6000Y0[00500])", ,"Entity[563706] Report(A6000Y0[00700])","Entity[563706] Report(A6000Y0[00800])","Entity[563706] Report(A6000Y0[00900])"
"Line(00100)","PRE-TRANSPLANT COORDINATOR","Y", ,"105","765218", , ,"194","765218"
"Line(00200)","PRE-TRANSPLANT COORDINATOR","Y", ,"105","112597", , ,"194","112597"
"Line(00300)","PRE-TRANSPLANT COORDINATOR","Y", ,"105","16943", , ,"60","16943"
"Line(00400)","PRE-TRANSPLANT COORDINATOR","Y", ,"105","61795", , ,"106","61795"
"Line(00500)","PRE-TRANSPLANT COORDINATOR","Y", ,"105", ,"56853", ,"194", ,"56853"
"Line(00600)","PRE-TRANSPLANT COORDINATOR","Y", ,"105", ,"8176", ,"194", ,"8176"
"Line(00700)","PRE-TRANSPLANT COORDINATOR","Y", ,"105", ,"1224", ,"60", ,"1224"
"Line(00800)","PRE-TRANSPLANT COORDINATOR","Y", ,"105", ,"4523", ,"106", ,"4523"
"Line(00900)","PRE-TRANSPLANT COORDINATOR","Y", ,"105", ,"72484", ,"194", ,"72484"
"Line(01000)","PRE-TRANSPLANT COORDINATOR","Y", ,"105", ,"11423", ,"194", ,"11423"
"Line(01100)","PRE-TRANSPLANT COORDINATOR","Y", ,"105", ,"2305", ,"60", ,"2305"
"Line(01200)","PRE-TRANSPLANT COORDINATOR","Y", ,"106", ,"11247", ,"105", ,"11247"
"Line(01300)","PRE-TRANSPLANT COORDINATOR","Y", ,"106","61051", , ,"194","61051"
"Line(01400)","PRE-TRANSPLANT COORDINATOR","Y", ,"106","29448", , ,"108","29448"
"Line(01500)","PRE-TRANSPLANT COORDINATOR","Y", ,"106","5648", , ,"60","5648"
"Line(01600)","PRE-TRANSPLANT COORDINATOR","Y", ,"106", ,"4536", ,"194", ,"4536"
"Line(01700)","PRE-TRANSPLANT COORDINATOR","Y", ,"106", ,"2208", ,"108", ,"2208"
"Line(01800)","PRE-TRANSPLANT COORDINATOR","Y", ,"106", ,"408", ,"60", ,"408"
"Line(01900)","PRE-TRANSPLANT COORDINATOR","Y", ,"106", ,"5783", ,"194", ,"5783"
"Line(02000)","PRE-TRANSPLANT COORDINATOR","Y", ,"106", ,"4539", ,"108", ,"4539"
"Line(02100)","PRE-TRANSPLANT COORDINATOR","Y", ,"106", ,"768", ,"60", ,"768"
"Line(02200)","PRE-TRANSPLANT COORDINATOR","Y", ,"107","337715", , ,"194","337715"
"Line(02300)","PRE-TRANSPLANT COORDINATOR","Y", ,"107","115811", , ,"194","115811"
"Line(02400)","PRE-TRANSPLANT COORDINATOR","Y", ,"107","16943", , ,"60","16943"
"Line(02500)","PRE-TRANSPLANT COORDINATOR","Y", ,"107","79389", , ,"106","79389"
"Line(02600)","PRE-TRANSPLANT COORDINATOR","Y", ,"107", ,"25091", ,"194", ,"25091"
"Line(02700)","PRE-TRANSPLANT COORDINATOR","Y", ,"107", ,"8409", ,"194", ,"8409"
"Line(02800)","PRE-TRANSPLANT COORDINATOR","Y", ,"107", ,"1224", ,"60", ,"1224"
"Line(02900)","PRE-TRANSPLANT COORDINATOR","Y", ,"107", ,"5810", ,"106", ,"5810"
"Line(03000)","PRE-TRANSPLANT COORDINATOR","Y", ,"107", ,"31990", ,"194", ,"31990"
"Line(03100)","PRE-TRANSPLANT COORDINATOR","Y", ,"107", ,"11749", ,"194", ,"11749"
"Line(03200)","PRE-TRANSPLANT COORDINATOR","Y", ,"107", ,"2305", ,"60", ,"2305"
"Line(03300)","PRE-TRANSPLANT COORDINATOR","Y", ,"106", ,"14448", ,"107", ,"14448"
"Line(03400)","PRE-TRANSPLANT COORDINATOR","Y", ,"108","155026", , ,"194","155026"
"Line(03500)","PRE-TRANSPLANT COORDINATOR","Y", ,"108","61120", , ,"106","61120"
"Line(03600)","PRE-TRANSPLANT COORDINATOR","Y", ,"108","28239", , ,"60","28239"
"Line(03700)","PRE-TRANSPLANT COORDINATOR","Y", ,"108","73328", , ,"106","73328"
"Line(03800)","PRE-TRANSPLANT COORDINATOR","Y", ,"108", ,"11518", ,"194", ,"11518"
"Line(03900)","PRE-TRANSPLANT COORDINATOR","Y", ,"108", ,"4591", ,"106", ,"4591"
"Line(04000)","PRE-TRANSPLANT COORDINATOR","Y", ,"108", ,"2041", ,"60", ,"2041"
"Line(04100)","PRE-TRANSPLANT COORDINATOR","Y", ,"108", ,"5367", ,"106", ,"5367"
"Line(04200)","PRE-TRANSPLANT COORDINATOR","Y", ,"108", ,"14685", ,"194", ,"14685"
"Line(04300)","PRE-TRANSPLANT COORDINATOR","Y", ,"108", ,"5231", ,"106", ,"5231"
"Line(04400)","PRE-TRANSPLANT COORDINATOR","Y", ,"108", ,"3842", ,"60", ,"3842"
"Line(04500)","PRE-TRANSPLANT COORDINATOR","Y", ,"106", ,"13345", ,"108", ,"13345"
"Line(04600)","PRE-TRANSPLANT COORDINATOR","Y", ,"109","35958", , ,"194","35958"
"Line(04700)","PRE-TRANSPLANT COORDINATOR","Y", ,"109","20663", , ,"194","20663"
"Line(04800)","PRE-TRANSPLANT COORDINATOR","Y", ,"109","18012", , ,"106","18012"
"Line(04900)","PRE-TRANSPLANT COORDINATOR","Y", ,"109", ,"2672", ,"194", ,"2672"
"Line(05000)","PRE-TRANSPLANT COORDINATOR","Y", ,"109", ,"1500", ,"194", ,"1500"
"Line(05100)","PRE-TRANSPLANT COORDINATOR","Y", ,"109", ,"1318", ,"106", ,"1318"
"Line(05200)","PRE-TRANSPLANT COORDINATOR","Y", ,"109", ,"3406", ,"194", ,"3406"
"Line(05300)","PRE-TRANSPLANT COORDINATOR","Y", ,"109", ,"2096", ,"194", ,"2096"
"Line(05400)","PRE-TRANSPLANT COORDINATOR","Y", ,"106", ,"3278", ,"109", ,"3278"
"Line(05500)","PRE-TRANSPLANT COORDINATOR","Y", ,"110","285964", , ,"112","285964"
"Line(05600)","PRE-TRANSPLANT COORDINATOR","Y", ,"110","103965", , ,"194","103965"
"Line(05700)","PRE-TRANSPLANT COORDINATOR","Y", ,"110","23239", , ,"194","23239"
"Line(05800)","PRE-TRANSPLANT COORDINATOR","Y", ,"110","169435", , ,"60","169435"
"Line(05900)","PRE-TRANSPLANT COORDINATOR","Y", ,"110","46144", , ,"106","46144"
