"\" Medicare HMO days from Wkst S-3"," Part I"," column 6. line 2\"","","","","","","","3", , , , , , , , , , 
"\" Total inpatient bed days from S-3"," Part I column 8 sum of lines 1"," 8-12\"","","","","","","","4", , , , , , , , , , 
"\" Total hospital charges from Wkst C"," Part I"," column 8 line 200\"","","","","","","","5", , , , , , , , , , 
"\" Total hospital charity care charges from Wkst S-10"," column 3 line 20\"","","","","","","","6", , , , , , , , , , , 
"\" CAH only - The reasonable cost incurred for the purchase of certified HIT technology fromWorksheet S-2"," Part I line 168\"","","","","","","","7", , , , , , , , , , , 
" Calcualtion of the HIT incentive payment  (see instructions)","","","","","","","8", , , , , , , , , , , , 
"","","","","","","","", , , , , , , , , , , , 
"INPATIENT HOSPITAL SERVICES UNDER PPS & CAH","","","","","","","", , , , , , , , , , , , 
" Initial/interim HIT payment(s).","","","","","","","30", , , , , , , , , , , , 
" Other Adjustments (specify)","","","","","","","31", , , , , , , , , , , , 
" Balance due provider (line 8 minus line 30 � line 31)","","","","","","","32", , , , , , , , , , , , 
 ,"Entity[572851] Report(E10A182[00100])", , , , , , , , , , , , , , , , , , 
 ,"45515", , , , , , , , , , , , , , , , , , 
 ,"68811", , , , , , , , , , , , , , , , , , 
 ,"13896", , , , , , , , , , , , , , , , , , 
 ,"243062", , , , , , , , , , , , , , , , , , 
 ,"2147483647", , , , , , , , , , , , , , , , , , 
 ,"158626607", , , , , , , , , , , , , , , , , , 
 ,"1686033", , , , , , , , , , , , , , , , , , 
 ,"33721", , , , , , , , , , , , , , , , , , 
 ,"1652312", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report E10B181 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"applicable","","   [ ] IPF                    [ ] SNF","","","Part A ","","Part B","", , , , , , , , , , , 
"box:","","   [ ] IRF                    [ ] Swing-Bed SNF","","","mm/dd/yyyy","Amount","mm/dd/yyyy","Amount", , , , , , , , , , , 
"Description","","","","1","2","3","4","", , , , , , , , , , , 
"Total interim payments paid to provider","","","","","","","","1", , , , , , , , , , , 
"\"Interim payments payable on individual bills"," either submitted or to be submitted to the intermediary\"","","","","","","","","2", , , , , , , , , , 
"\"for services rendered in the cost reporting period.  If none"," write \"\"NONE\"\" or enter a zero\"","","","","","","","","", , , , , , , , , , 
"List separately each retroactive  ","","","0.01","","","","","3.01", , , , , , , , , , , 
"lump sum adjustment amount based","","","0.02","","","","","3.02", , , , , , , , , , , 
"on subsequent revision of the","","Program to ","0.03","","","","","3.03", , , , , , , , , , , 
"interim rate for the cost reporting period.","","Provider","0.04","","","","","3.04", , , , , , , , , , , 
"Also show date of each payment.","","","0.05","","","","","3.05", , , , , , , , , , , 
"\"If none"," write \"\"NONE\"\" or enter a zero. (1)\"","","","0.5","","","","","3.5", , , , , , , , , , 
"","","","0.51","","","","","3.51", , , , , , , , , , , 
"","","Provider to ","0.52","","","","","3.52", , , , , , , , , , , 
"","","Program","0.53","","","","","3.53", , , , , , , , , , , 
"","","","0.54","","","","","3.54", , , , , , , , , , , 
"Subtotal (sum of lines 3.01- 3.49 minus sum of lines 3.50-3.98)","","","0.99","","","","","3.99", , , , , , , , , , , 
"\"Total interim payments (sum of lines 1"," 2"," and 3.99) \"","","","","","","","","4", , , , , , , , , 
"\"(transfer to Wkst. E or Wkst. E-3"," line\"","","","","","","","","", , , , , , , , , , 
"and column as appropriate)","","","","","","","","", , , , , , , , , , , 
"TO BE COMPLETED BY CONTRACTOR","","","","","","","","", , , , , , , , , , , 
"List separately each tentative settlement","","Program to","0.01","","","","","5.01", , , , , , , , , , , 
"payment after desk review. Also show","","Provider","0.02","","","","","5.02", , , , , , , , , , , 
"date of each payment.","","","0.03","","","","","5.03", , , , , , , , , , , 
"\"If none"," write \"\"NONE\"\" or enter a zero. (1)\"","","","0.5","","","","","5.5", , , , , , , , , , 
"","","Provider to ","0.51","","","","","5.51", , , , , , , , , , , 
"","","Program","0.52","","","","","5.52", , , , , , , , , , , 
"Subtotal (sum of lines 5.01-5.49 minus sum of lines 5.50 -5.98)","","","0.99","","","","","5.99", , , , , , , , , , , 
"Determined net settlement amount (balance","","Program to provider","0.01","","","","","6.01", , , , , , , , , , , 
"due) based on the cost report (1)","","Provider to program","0.02","","","","","6.02", , , , , , , , , , , 
"Total Medicare program liability (see instructions)","","","","","","","","7", , , , , , , , , , , 
" Name of Contractor","","","",""," Contractor Number","","Date (Month/Day/Year)","8", , , , , , , , , , , 
"","","","","","","","","", , , , , , , , , , , 
"","","","","","","","","", , , , , , , , , , , 
"\"(1) On lines 3"," 5"," and 6"," where an amount is due provider to program"," show the amount and date on which the provider agrees to the amount of repayment\"","","","","","","","","", , , , , , , 
"even though total repayment is not accomplished until a later date.","","","","","","","","", , , , , , , , , , , 
"Entity[572851] Report(E10B181[00000])","Entity[572851] Report(E10B181[00100])","Entity[572851] Report(E10B181[00200])", , , , , , , , , , , , , , , , , 
 , ,"3377126", , , , , , , , , , , , , , , , , 
 ,"09/04/2013","56678", , , , , , , , , , , , , , , , , 
 ,"07/10/2013","13", , , , , , , , , , , , , , , , , 
 ,"07/10/2013","4546", , , , , , , , , , , , , , , , , 
 ,"09/04/2013","70", , , , , , , , , , , , , , , , , 
 , ,"52075", , , , , , , , , , , , , , , , , 
 , ,"3429201", , , , , , , , , , , , , , , , , 
 , ,"99363", , , , , , , , , , , , , , , , , 
 , ,"3329838", , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report E10C181 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"applicable","","   [ ] IPF                    [ ] SNF","","","Part A ","","Part B","", , , , , , , , , , , 
"box:","","   [ ] IRF                    [ ] Swing-Bed SNF","","","mm/dd/yyyy","Amount","mm/dd/yyyy","Amount", , , , , , , , , , , 
"Description","","","","1","2","3","4","", , , , , , , , , , , 
"Total interim payments paid to provider","","","","","","","","1", , , , , , , , , , , 
"\"Interim payments payable on individual bills"," either submitted or to be submitted to the intermediary\"","","","","","","","","2", , , , , , , , , , 
"\"for services rendered in the cost reporting period.  If none"," write \"\"NONE\"\" or enter a zero\"","","","","","","","","", , , , , , , , , , 
"List separately each retroactive  ","","","0.01","","","","","3.01", , , , , , , , , , , 
"lump sum adjustment amount based","","","0.02","","","","","3.02", , , , , , , , , , , 
"on subsequent revision of the","","Program to ","0.03","","","","","3.03", , , , , , , , , , , 
"interim rate for the cost reporting period.","","Provider","0.04","","","","","3.04", , , , , , , , , , , 
"Also show date of each payment.","","","0.05","","","","","3.05", , , , , , , , , , , 
"\"If none"," write \"\"NONE\"\" or enter a zero. (1)\"","","","0.5","","","","","3.5", , , , , , , , , , 
"","","","0.51","","","","","3.51", , , , , , , , , , , 
"","","Provider to ","0.52","","","","","3.52", , , , , , , , , , , 
"","","Program","0.53","","","","","3.53", , , , , , , , , , , 
"","","","0.54","","","","","3.54", , , , , , , , , , , 
"Subtotal (sum of lines 3.01- 3.49 minus sum of lines 3.50-3.98)","","","0.99","","","","","3.99", , , , , , , , , , , 
"\"Total interim payments (sum of lines 1"," 2"," and 3.99) \"","","","","","","","","4", , , , , , , , , 
"\"(transfer to Wkst. E or Wkst. E-3"," line\"","","","","","","","","", , , , , , , , , , 
"and column as appropriate)","","","","","","","","", , , , , , , , , , , 
"TO BE COMPLETED BY CONTRACTOR","","","","","","","","", , , , , , , , , , , 
"List separately each tentative settlement","","Program to","0.01","","","","","5.01", , , , , , , , , , , 
"payment after desk review. Also show","","Provider","0.02","","","","","5.02", , , , , , , , , , , 
"date of each payment.","","","0.03","","","","","5.03", , , , , , , , , , , 
"\"If none"," write \"\"NONE\"\" or enter a zero. (1)\"","","","0.5","","","","","5.5", , , , , , , , , , 
"","","Provider to ","0.51","","","","","5.51", , , , , , , , , , , 
"","","Program","0.52","","","","","5.52", , , , , , , , , , , 
"Subtotal (sum of lines 5.01-5.49 minus sum of lines 5.50 -5.98)","","","0.99","","","","","5.99", , , , , , , , , , , 
"Determined net settlement amount (balance","","Program to provider","0.01","","","","","6.01", , , , , , , , , , , 
"due) based on the cost report (1)","","Provider to program","0.02","","","","","6.02", , , , , , , , , , , 
"Total Medicare program liability (see instructions)","","","","","","","","7", , , , , , , , , , , 
" Name of Contractor","","","",""," Contractor Number","","Date (Month/Day/Year)","8", , , , , , , , , , , 
"","","","","","","","","", , , , , , , , , , , 
"","","","","","","","","", , , , , , , , , , , 
"\"(1) On lines 3"," 5"," and 6"," where an amount is due provider to program"," show the amount and date on which the provider agrees to the amount of repayment\"","","","","","","","","", , , , , , , 
"even though total repayment is not accomplished until a later date.","","","","","","","","", , , , , , , , , , , 
"Entity[572851] Report(E10C181[00000])","Entity[572851] Report(E10C181[00100])","Entity[572851] Report(E10C181[00200])", , , , , , , , , , , , , , , , , 
 , ,"19058", , , , , , , , , , , , , , , , , 
 ,"09/04/2013","3686", , , , , , , , , , , , , , , , , 
 , ,"3686", , , , , , , , , , , , , , , , , 
 , ,"22744", , , , , , , , , , , , , , , , , 
 , ,"22889", , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report E30B182 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"applicable","","   [ ] Subprovider (Other) ","","","", , , , , , , , , , , , , , 
"box:","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"PART II - CALCULATION OF MEDICARE REIMBURSEMENT SETTLEMENT UNDER IPF PPS","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"\" Net Federal IPF PPS payment (excluding outlier"," ECT"," and medical education payments) \"","","","","","1", , , , , , , , , , , , 
" Net IPF PPS Outlier payment","","","","","2", , , , , , , , , , , , , , 
" Net IPF PPS ECT payment","","","","","3", , , , , , , , , , , , , , 
"\" Unweighted intern and resident FTE count in the most recent cost report filed on or before November 15"," 2004  (see instructions)\"","","","","","4", , , , , , , , , , , , , 
" New teaching program adjustment  (see instructions)","","","","","5", , , , , , , , , , , , , , 
"\" Current year unweighted FTE count of I&R other than FTEs in the first 3 years of a \"\"new teaching program\"\"  (see instructions)\"","","","","","6", , , , , , , , , , , , , , 
"\" Current year unweighted I&R FTE count for residents within the first 3 years of a \"\"new teaching program\"\"  (see instructions)\"","","","","","7", , , , , , , , , , , , , , 
" Intern and resident count for IPF PPS medical education adjustment  (see instructions)","","","","","8", , , , , , , , , , , , , , 
" Average daily census  (see instructions)","","","","","9", , , , , , , , , , , , , , 
" Medical Education Adjustment Factor {((1 + (line 8/line 9)) raised to the power of .5150 -1}.","","","","","10", , , , , , , , , , , , , , 
" Medical Education Adjustment  (line 1 multiplied by line 10).","","","","","11", , , , , , , , , , , , , , 
"\" Adjusted Net IPF PPS Payments (sum of lines 1"," 2"," 3 and 11)\"","","","","","12", , , , , , , , , , , , 
" Nursing and allied health managed care payment  (see instruction)","","","","","13", , , , , , , , , , , , , , 
" Organ acquisition","","","","","14", , , , , , , , , , , , , , 
"\" Cost of teaching physicians (from Worksheet D-5"," Part II"," column 3"," line 20)  (see instructions)\"","","","","","15", , , , , , , , , , , 
" Subtotal  (see instructions)","","","","","16", , , , , , , , , , , , , , 
" Primary payer payments","","","","","17", , , , , , , , , , , , , , 
" Subtotal (line 16 less line 17). ","","","","","18", , , , , , , , , , , , , , 
" Deductibles","","","","","19", , , , , , , , , , , , , , 
" Subtotal (line 18 minus line 19)","","","","","20", , , , , , , , , , , , , , 
" Coinsurance","","","","","21", , , , , , , , , , , , , , 
" Subtotal (line 20 minus line 21)","","","","","22", , , , , , , , , , , , , , 
" Allowable bad debts (exclude bad debts for professional services)  (see instructions)","","","","","23", , , , , , , , , , , , , , 
" Adjusted reimbursable bad debts  (see instructions)","","","","","24", , , , , , , , , , , , , , 
" Allowable bad debts for dual eligible beneficiaries  (see instructions)","","","","","25", , , , , , , , , , , , , , 
" Subtotal (sum of lines 22 and 24) ","","","","","26", , , , , , , , , , , , , , 
"\" Direct graduate medical education payments (from Worksheet E-4"," line 49)\"","","","","","27", , , , , , , , , , , , , 
" Other pass through costs  (see instructions)","","","","","28", , , , , , , , , , , , , , 
" Outlier payments reconciliation","","","","","29", , , , , , , , , , , , , , 
" Other adjustments  (specify)  (see instructions)","","","","","30", , , , , , , , , , , , , , 
" Total amount payable to the provider  (see instructions)","","","","","31", , , , , , , , , , , , , , 
" Interim payments","","","","","32", , , , , , , , , , , , , , 
" Tentative settlement (for contractor use only)","","","","","33", , , , , , , , , , , , , , 
" Balance due provider/program (line 31 minus the sum lines 32 and 33)","","","","","34", , , , , , , , , , , , , , 
"\" Protested amounts (nonallowable cost report items) in accordance with CMS Pub. 15-2"," section 115.2\"","","","","","35", , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"TO BE COMPLETED BY CONTRACTOR","","","","","", , , , , , , , , , , , , , 
"\" Original outlier amount from Worksheet E-3"," Part II"," line 2  (see instructions)\"","","","","","50", , , , , , , , , , , , 
" Outlier reconciliation adjustment amount  (see instructions)","","","","","51", , , , , , , , , , , , , , 
" The rate used to calculate the Time Value of Money  (see instructions)","","","","","52", , , , , , , , , , , , , , 
" Time Value of Money  (see instructions)","","","","","53", , , , , , , , , , , , , , 
 ,"Entity[572851] Report(E30B182[00100])", , , , , , , , , , , , , , , , , , 
 ,"3672135", , , , , , , , , , , , , , , , , , 
 ,"4564", , , , , , , , , , , , , , , , , , 
 ,"13478", , , , , , , , , , , , , , , , , , 
 ,"68", , , , , , , , , , , , , , , , , , 
 ,"3690177", , , , , , , , , , , , , , , , , , 
 ,"3690177", , , , , , , , , , , , , , , , , , 
 ,"84", , , , , , , , , , , , , , , , , , 
 ,"3690093", , , , , , , , , , , , , , , , , , 
 ,"355964", , , , , , , , , , , , , , , , , , 
 ,"3334129", , , , , , , , , , , , , , , , , , 
 ,"163564", , , , , , , , , , , , , , , , , , 
 ,"3170565", , , , , , , , , , , , , , , , , , 
 ,"206576", , , , , , , , , , , , , , , , , , 
 ,"134274", , , , , , , , , , , , , , , , , , 
 ,"128003", , , , , , , , , , , , , , , , , , 
 ,"3304839", , , , , , , , , , , , , , , , , , 
 ,"76050", , , , , , , , , , , , , , , , , , 
 ,"3380889", , , , , , , , , , , , , , , , , , 
 ,"51051", , , , , , , , , , , , , , , , , , 
 ,"3429201", , , , , , , , , , , , , , , , , , 
 ,"-99363", , , , , , , , , , , , , , , , , , 
 ,"51051", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report E30C183 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"applicable","","   [ ] Subprovider (Other) ","","","", , , , , , , , , , , , , , 
"box:","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"PART III - CALCULATION OF MEDICARE REIMBURSEMENT SETTLEMENT UNDER IRF PPS","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
" Net Federal PPS payment  (see instructions)","","","","","1", , , , , , , , , , , , , , 
" Medicare SSI ratio (IRF PPS only)  (see instructions)","","","","","2", , , , , , , , , , , , , , 
" Inpatient Rehabilitation LIP payments  (see instructions)","","","","","3", , , , , , , , , , , , , , 
" Outlier payments","","","","","4", , , , , , , , , , , , , , 
" Unweighted intern and resident FTE count in the most recent cost reporting  period ending","","","","","5", , , , , , , , , , , , , , 
"\" on or prior to November 15"," 2004  (see instructions)\"","","","","","", , , , , , , , , , , , , 
" New teaching program adjustment  (see instructions)","","","","","6", , , , , , , , , , , , , , 
"\" Current year unweighted FTE count of I&R other than FTEs in the first 3 years of a \"\"new teaching program\"\"  (see instructions)\"","","","","","7", , , , , , , , , , , , , , 
"\" Current year unweighted I&R FTE count for residents within the first 3 years of a \"\"new teaching program\"\"  (see instructions)\"","","","","","8", , , , , , , , , , , , , , 
" Intern and resident count for IRF PPS medical education adjustment  (see instructions)","","","","","9", , , , , , , , , , , , , , 
" Average daily census  (see instructions)","","","","","10", , , , , , , , , , , , , , 
" Medical Education Adjustment Factor {((1 + (line 9/line 10)) raised to the power of .6876 -1}.","","","","","11", , , , , , , , , , , , , , 
" Medical Education Adjustment  (line 1 multiplied by line 11).","","","","","12", , , , , , , , , , , , , , 
"\" Total PPS Payment (sum of lines 1"," 3"," 4 and 12)\"","","","","","13", , , , , , , , , , , , 
" Nursing and Allied Health Managed Care payment  (see instructions)","","","","","14", , , , , , , , , , , , , , 
" Organ acquisition","","","","","15", , , , , , , , , , , , , , 
"\" Cost of teaching physicians (from Worksheet D-5"," Part II"," column 3"," line 20)  (see instructions)\"","","","","","16", , , , , , , , , , , 
" Subtotal  (see instructions)","","","","","17", , , , , , , , , , , , , , 
" Primary payer payments","","","","","18", , , , , , , , , , , , , , 
" Subtotal (line 17 less line 18). ","","","","","19", , , , , , , , , , , , , , 
" Deductibles","","","","","20", , , , , , , , , , , , , , 
" Subtotal (line 19 minus line 20)","","","","","21", , , , , , , , , , , , , , 
" Coinsurance","","","","","22", , , , , , , , , , , , , , 
" Subtotal (line 21 minus line 22)","","","","","23", , , , , , , , , , , , , , 
" Allowable bad debts (exclude bad debts for professional services)  (see instructions)","","","","","24", , , , , , , , , , , , , , 
" Adjusted reimbursable bad debts  (see instructions)","","","","","25", , , , , , , , , , , , , , 
" Allowable bad debts for dual eligible beneficiaries  (see instructions)","","","","","26", , , , , , , , , , , , , , 
" Subtotal (sum of lines 23 and 25) ","","","","","27", , , , , , , , , , , , , , 
"\" Direct graduate medical education payments (from Worksheet E-4"," line 49)\"","","","","","28", , , , , , , , , , , , , 
" Other pass through costs  (see instructions)","","","","","29", , , , , , , , , , , , , , 
" Outlier payments reconciliation","","","","","30", , , , , , , , , , , , , , 
"\\Other adjustments (specify)  (see instructions)","","","","","31", , , , , , , , , , , , , , 
" Total amount payable to the provider  (see instructions)","","","","","32", , , , , , , , , , , , , , 
" Interim payments","","","","","33", , , , , , , , , , , , , , 
" Tentative settlement (for contractor use only)","","","","","34", , , , , , , , , , , , , , 
" Balance due provider/program (line 32 minus the sum lines 33 and 34)","","","","","35", , , , , , , , , , , , , , 
"\" Protested amounts (nonallowable cost report items) in accordance with CMS Pub. 15-2"," section 115.2\"","","","","","36", , , , , , , , , , , , , 
" ","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"TO BE COMPLETED BY CONTRACTOR","","","","","", , , , , , , , , , , , , , 
"\" Original outlier amount from Worksheet E-3"," Part III"," line 4  (see instructions)\"","","","","","50", , , , , , , , , , , , 
" Outlier reconciliation adjustment amount  (see instructions)","","","","","51", , , , , , , , , , , , , , 
" The rate used to calculate the Time Value of Money  (see instructions)","","","","","52", , , , , , , , , , , , , , 
" Time Value of Money  (see instructions)","","","","","53", , , , , , , , , , , , , , 
 ,"Entity[572851] Report(E30C183[00100])", , , , , , , , , , , , , , , , , , 
 ,"20242", , , , , , , , , , , , , , , , , , 
 ,"4129", , , , , , , , , , , , , , , , , , 
 ,"9", , , , , , , , , , , , , , , , , , 
 ,"24371", , , , , , , , , , , , , , , , , , 
 ,"24371", , , , , , , , , , , , , , , , , , 
 ,"24371", , , , , , , , , , , , , , , , , , 
 ,"1184", , , , , , , , , , , , , , , , , , 
 ,"23187", , , , , , , , , , , , , , , , , , 
 ,"23187", , , , , , , , , , , , , , , , , , 
 ,"23187", , , , , , , , , , , , , , , , , , 
 ,"53", , , , , , , , , , , , , , , , , , 
 ,"23240", , , , , , , , , , , , , , , , , , 
 ,"351", , , , , , , , , , , , , , , , , , 
 ,"22744", , , , , , , , , , , , , , , , , , 
 ,"145", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report E40A180 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"DIRECT GRADUATE MEDICAL EDUCATION (GME) ","","","","","", , , , , , , , , , , , , , 
"& ESRD OUTPATIENT DIRECT MEDICAL ","","","","","", , , , , , , , , , , , , , 
"EDUCATION COSTS","","","","","", , , , , , , , , , , , , , 
"Check","","   [ ]  Title V","","","", , , , , , , , , , , , , , 
"applicable","","   [ ]  Title XVIII","","","", , , , , , , , , , , , , , 
"box:","","   [ ]  Title XIX","","","", , , , , , , , , , , , , , 
"COMPUTATION OF TOTAL DIRECT GME AMOUNT","","","","","", , , , , , , , , , , , , , 
"\" Unweighted resident FTE count for allopathic and osteopathic programs for cost reporting periods ending on or before December 31"," 1996\"","","","","","1", , , , , , , , , , , , , 
" Unweighted FTE resident cap add-on for new programs per 42 CFR 413.79(e)(1)  (see instructions)","","","","","2", , , , , , , , , , , , , , 
" Amount of reduction to Direct GME cap under section 422 of MMA ","","","","","3", , , , , , , , , , , , , , 
" 3.01 Direct GME cap reduction amount under ACA �5503 in accordance with CFR �413.79 (m).  (see instructions ","","","","","3.01", , , , , , , , , , , , , , 
" for cost reporting periods straddling 7/1/2011)","","","","","", , , , , , , , , , , , , , 
" Adjustment (plus or minus) to the FTE cap for allopathic and osteopathic programs due to a Medicare GME  ","","","","","4", , , , , , , , , , , , , , 
" affiliation agreement (42 CFR �413.75(b) and � 413.79 (f))","","","","","", , , , , , , , , , , , , , 
" 4.01ACA Section 5503 increase to the Direct GME FTE Cap (see instructions for cost reporting periods straddling 7/1/2011)","","","","","4.01", , , , , , , , , , , , , , 
" 4.02ACA Section 5506 number of additional direct GME FTE cap slots  (see instructions for cost reporting periods straddling 7/1/2011)","","","","","4.02", , , , , , , , , , , , , , 
" FTE adjusted cap (line 1 plus line 2 minus line 3 and 3.01 plus or minus line 4 plus line 4.01 plus line 4.02 plus applicable subscripts","","","","","5", , , , , , , , , , , , , , 
" Unweighted resident FTE count for allopathic and osteopathic programs for the current year from your records  (see instructions)","","","","","6", , , , , , , , , , , , , , 
" Enter the lesser of line 5 or line 6","","","","","7", , , , , , , , , , , , , , 
"","","Primary Care","Other ","Total","", , , , , , , , , , , , , , 
"","","1","2","3","", , , , , , , , , , , , , , 
" Weighted FTE count for physicians in an allopathic and osteopathic program for","","","","","8", , , , , , , , , , , , , , 
" the current year","","","","","", , , , , , , , , , , , , , 
"\" If line 6 is less than 5 enter the amount from line 8"," otherwise  multiply line 8 times\"","","","","","9", , , , , , , , , , , , , 
" the result of line 5 divided by the amount on line 6","","","","","", , , , , , , , , , , , , , 
" Weighted dental and podiatric resident FTE count for the current year ","","","","","10", , , , , , , , , , , , , , 
" Total weighted FTE count","","","","","11", , , , , , , , , , , , , , 
" Total weighted resident FTE count for the prior cost reporting year  (see instructions)","","","","","12", , , , , , , , , , , , , , 
" Total weighted resident FTE count for the penultimate cost reporting year  (see instr.)","","","","","13", , , , , , , , , , , , , , 
" Rolling average FTE count (sum of lines 11 through 13 divided by 3)","","","","","14", , , , , , , , , , , , , , 
" Adjustment for residents in initial years of new programs","","","","","15", , , , , , , , , , , , , , 
" Adjustment for residents displaced by program or hospital closure","","","","","16", , , , , , , , , , , , , , 
" Adjusted rolling average FTE count","","","","","17", , , , , , , , , , , , , , 
" Per resident amount","","","","","18", , , , , , , , , , , , , , 
" Approved amount for resident costs","","","","","19", , , , , , , , , , , , , , 
" Additional unweighted allopathic and osteopathic direct GME FTE resident cap slots received under 42 Sec. 413.79(c )(4)","","","","","20", , , , , , , , , , , , , , 
" GME FTE weighted resident count over cap  (see instructions)","","","","","21", , , , , , , , , , , , , , 
" Allowable additional direct GME FTE resident count  (see instructions)","","","","","22", , , , , , , , , , , , , , 
" Enter the locality adjustment national average per resident amount  (see instructions)","","","","","23", , , , , , , , , , , , , , 
" Multiply line 22 time line 23","","","","","24", , , , , , , , , , , , , , 
" Total direct GME amount (sum of lines 19 and 24)","","","","","25", , , , , , , , , , , , , , 
" COMPUTATION OF PROGRAM PATIENT LOAD","","Inpatient Part A","Managed Care","","", , , , , , , , , , , , , , 
" Inpatient days","","","","","26", , , , , , , , , , , , , , 
" Total inpatient days","","","","","27", , , , , , , , , , , , , , 
" Ratio of inpatient days to total inpatient days","","","","","28", , , , , , , , , , , , , , 
" Program direct GME amount","","","","","29", , , , , , , , , , , , , , 
" Reduction for nursing/allied health","","","","","30", , , , , , , , , , , , , , 
" Net Program direct GME amount","","","","","31", , , , , , , , , , , , , , 
" DIRECT MEDICAL EDUCATION COSTS FOR ESRD COMPOSITE RATE - TITLE XVIII ONLY (NURSING SCHOOL AND","","","","","", , , , , , , , , , , , , , 
" PARAMEDICAL EDUCATION COSTS)","","","","","", , , , , , , , , , , , , , 
"\" Renal dialysis direct medical education costs (from Worksheet B"," Part I"," sum of columns 20 and 23"," lines 74 and 94)\"","","","","","32", , , , , , , , , , , 
"\" Renal dialysis and home dialysis total charges (Worksheet C"," Part I"," column 8"," sum of lines 74 and 94)\"","","","","","33", , , , , , , , , , , 
" Ratio of direct medical education costs to total charges (line 32 � line 33)","","","","","34", , , , , , , , , , , , , , 
" Medicare outpatient ESRD charges  (see instructions)","","","","","35", , , , , , , , , , , , , , 
" Medicare outpatient ESRD direct medical education costs (line 34 x line 35)","","","","","36", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"","","","","","", , , , , , , , , , , , , , 
"DIRECT GRADUATE MEDICAL EDUCATION (GME) ","",""," PROVIDER CCN:"," PERIOD:"," WORKSHEET E-4", , , , , , , , , , , , , , 
"& ESRD OUTPATIENT DIRECT MEDICAL ","","",""," FROM ____________"," (Cont.)", , , , , , , , , , , , , , 
"EDUCATION COSTS","",""," ________________"," TO _______________","", , , , , , , , , , , , , , 
"Check","","   [ ]  Title V","","","", , , , , , , , , , , , , , 
"applicable","","   [ ]  Title XVIII","","","", , , , , , , , , , , , , , 
"box:","","   [ ]  Title XIX","","","", , , , , , , , , , , , , , 
"APPORTIONMENT OF MEDICARE REASONABLE COST OF GME","","","","","", , , , , , , , , , , , , , 
"Part A Reasonable Cost","","","","","", , , , , , , , , , , , , , 
" Reasonable cost  (see instructions)","","","","","37", , , , , , , , , , , , , , 
"\" Organ acquisition costs (Worksheet D-4"," Part III"," column 1"," line 69)\"","","","","","38", , , , , , , , , , , 
"\" Cost of teaching physicians (Worksheet D-5"," Part II"," column 3"," line 20)\"","","","","","39", , , , , , , , , , , 
" Primary payer payments  (see instructions)","","","","","40", , , , , , , , , , , , , , 
" Total Part A reasonable cost (sum of lines 37 through 39 minus line 40)","","","","","41", , , , , , , , , , , , , , 
"Part B Reasonable Cost ","","","","","", , , , , , , , , , , , , , 
" Reasonable cost  (see instructions)","","","","","42", , , , , , , , , , , , , , 
