"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"47590", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"37523", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"1823", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"15428", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"9844", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"52038", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"48", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"90", ,"47536", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"91", ,"285476", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"91", ,"1570", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"91", ,"31664", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"91", ,"13563", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"92", ,"11527", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"92", ,"493", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"95", ,"4582", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"105", ,"44455", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"191", ,"87056", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"192", ,"76901", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"192", ,"48", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"194", ,"280", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"194", ,"479", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"76", ,"762710", , , , , , , , , , 
"FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"194", ,"579", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A6000D0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A6000D0[00000])","Entity[572851] Report(A6000D0[00100])", ,"Entity[572851] Report(A6000D0[00300])", ,"Entity[572851] Report(A6000D0[00500])", ,"Entity[572851] Report(A6000D0[00700])", ,"Entity[572851] Report(A6000D0[00900])", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", ,"72", ,"73233256", ,"5", ,"944", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"23", ,"5", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"30", ,"1245", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"34", ,"7495", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"34", ,"723", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"34", ,"900", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"34", ,"200", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"41", ,"92", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"50", ,"54035753", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"51", ,"650", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"54", ,"1911033", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"57", ,"9930", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"58", ,"110", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"59", ,"12389479", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"65", ,"3012", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"66", ,"7320", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"75", ,"2837979", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"76", ,"395412", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"90", ,"11755", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"90", ,"842", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"90", ,"8290", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"90", ,"51267", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"90", ,"8", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"90", ,"41885", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"90", ,"297", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"90", ,"1316960", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"90", ,"4185", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"191", ,"1242", , , , , , , , , , 
"FILE 300.15 IMPLANTS","D", , , , , ,"192", ,"194243", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A6000E0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A6000E0[00000])","Entity[572851] Report(A6000E0[00100])", ,"Entity[572851] Report(A6000E0[00300])", ,"Entity[572851] Report(A6000E0[00500])", ,"Entity[572851] Report(A6000E0[00700])", ,"Entity[572851] Report(A6000E0[00900])", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", ,"73", ,"55611258", ,"14", ,"368", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"15", ,"44887028", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"50", ,"315586", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"51", ,"113793", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"52", ,"128296", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"54", ,"2077026", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"56", ,"1840144", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"57", ,"323198", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"58", ,"227277", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"59", ,"321316", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"60", ,"30616", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"65", ,"1633773", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"69", ,"106018", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"74", ,"121392", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"75", ,"117716", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"55", ,"1061637", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"76", ,"49684", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"87886", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"1010", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"351799", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"505164", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"212480", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"88202", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"5986", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"9357", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"79", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"5491", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"9100", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"50746", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"496550", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"594", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"170", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"26765", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"27005", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"7401", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"91", ,"283574", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"91", ,"39916", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"91", ,"12373", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"92", ,"34604", , , , , , , , , , 
"FILE 300.16 DRUGS CHARGED","E", , , , , ,"92", ,"138", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A6000F0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A6000F0[00000])","Entity[572851] Report(A6000F0[00100])", ,"Entity[572851] Report(A6000F0[00300])", ,"Entity[572851] Report(A6000F0[00500])", ,"Entity[572851] Report(A6000F0[00700])", ,"Entity[572851] Report(A6000F0[00900])", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", ,"4", ,"32558138", ,"5", ,"82888", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", ,"40", ,"839", ,"10", ,"60", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"13", ,"240", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"15", ,"156968", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"17", ,"28023", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"22", ,"5968225", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"30", ,"455230", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"31", ,"872432", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"31", ,"809866", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"34", ,"419916", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"41", ,"16146", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"50", ,"400", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"50", ,"98627", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"1909", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"1054064", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"1040435", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"922245", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"6402903", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"177664", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"63", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"80898", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"742808", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"334847", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"1624940", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"439754", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"510714", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"65", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"66", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"948563", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"2753", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"91", ,"2123379", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"91", ,"920721", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"191", ,"2281888", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"192", ,"2945499", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"192", ,"26330", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"194", ,"272638", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"194", ,"303828", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"194", ,"14736", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"194", ,"57597", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"194", ,"127099", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"194", ,"38382", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"194", ,"199355", , , , , , , , , , 
"FILE 300.17 FRINGE BENEFITS","F", , , , , ,"194", ,"53813", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A6000G0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A6000G0[00000])","Entity[572851] Report(A6000G0[00100])", ,"Entity[572851] Report(A6000G0[00300])", ,"Entity[572851] Report(A6000G0[00500])", ,"Entity[572851] Report(A6000G0[00700])", ,"Entity[572851] Report(A6000G0[00900])", , , , , , , , , , 
"FILE 300.19 LAB","G", ,"60", ,"6533727", ,"9", ,"66", , , , , , , , , , 
"FILE 300.19 LAB","G", ,"5", ,"291", ,"10", ,"217", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"14", ,"232", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"15", ,"4234508", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"20", ,"9175", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"22", ,"542", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"23", ,"6001", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"30", ,"199096", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"31", ,"26728", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"31", ,"52339", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"32", ,"16976", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"32", ,"10436", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"34", ,"25231", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"34", ,"29420", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"34", ,"11176", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"34", ,"6838", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"34", ,"429", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"34", ,"3361", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"34", ,"6018", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"40", ,"8472", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"41", ,"715", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"50", ,"124566", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"50", ,"27135", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"51", ,"9077", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"52", ,"41398", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"53", ,"585702", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"54", ,"4801", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"55", ,"1228", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"56", ,"1025", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"57", ,"685", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"58", ,"292", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"59", ,"33222", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"66", ,"62", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"69", ,"19677", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"71", ,"1498", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"74", ,"5035", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"75", ,"14520", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"76", ,"14347", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"77", ,"350", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"90", ,"29875", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"90", ,"1714", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"90", ,"9139", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"90", ,"106152", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"90", ,"90878", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"90", ,"1612", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"90", ,"35948", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"90", ,"11544", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"90", ,"4668", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"90", ,"29074", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"90", ,"746", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"90", ,"69", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"90", ,"773", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"90", ,"139714", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"90", ,"10215", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"90", ,"2245", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"90", ,"855", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"90", ,"225151", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"90", ,"11", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"90", ,"232", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"91", ,"98033", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"91", ,"77405", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"91", ,"17183", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"91", ,"4240", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"92", ,"13914", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"92", ,"1590", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"95", ,"3917", , , , , , , , , , 
"FILE 300.19 LAB","G", , , , , ,"105", ,"84525", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A6000H0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A6000H0[00000])","Entity[572851] Report(A6000H0[00100])", ,"Entity[572851] Report(A6000H0[00300])","Entity[572851] Report(A6000H0[00400])", , ,"Entity[572851] Report(A6000H0[00700])","Entity[572851] Report(A6000H0[00800])", , , , , , , , , , , 
"FILE 300.20 I&R SALARY","H", ,"21","13680980", , ,"22","12656116", , , , , , , , , , , 
"FILE 300.20 I&R SALARY","H", , , , , ,"31","975", , , , , , , , , , , 
"FILE 300.20 I&R SALARY","H", , , , , ,"77","9910", , , , , , , , , , , 
"FILE 300.20 I&R SALARY","H", , , , , ,"90","58779", , , , , , , , , , , 
"FILE 300.20 I&R SALARY","H", , , , , ,"90","64506", , , , , , , , , , , 
"FILE 300.20 I&R SALARY","H", , , , , ,"90","4469", , , , , , , , , , , 
"FILE 300.20 I&R SALARY","H", , , , , ,"90","446", , , , , , , , , , , 
"FILE 300.20 I&R SALARY","H", , , , , ,"90","88285", , , , , , , , , , , 
"FILE 300.20 I&R SALARY","H", , , , , ,"91","1850", , , , , , , , , , , 
"FILE 300.20 I&R SALARY","H", , , , , ,"105","6859", , , , , , , , , , , 
"FILE 300.20 I&R SALARY","H", , , , , ,"107","74333", , , , , , , , , , , 
"FILE 300.20 I&R SALARY","H", , , , , ,"191","18337", , , , , , , , , , , 
"FILE 300.20 I&R SALARY","H", , , , , ,"194","695897", , , , , , , , , , , 
"FILE 300.20 I&R SALARY","H", , , , , ,"194","218", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A6000I0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A6000I0[00000])","Entity[572851] Report(A6000I0[00100])", ,"Entity[572851] Report(A6000I0[00300])","Entity[572851] Report(A6000I0[00400])","Entity[572851] Report(A6000I0[00500])", ,"Entity[572851] Report(A6000I0[00700])","Entity[572851] Report(A6000I0[00800])","Entity[572851] Report(A6000I0[00900])", , , , , , , , , , 
"FILE 300.21 PASTORAL CARE","I", ,"5","540865","154545", ,"23","540865","154545", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A6000J0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A6000J0[00000])","Entity[572851] Report(A6000J0[00100])", ,"Entity[572851] Report(A6000J0[00300])","Entity[572851] Report(A6000J0[00400])","Entity[572851] Report(A6000J0[00500])", ,"Entity[572851] Report(A6000J0[00700])","Entity[572851] Report(A6000J0[00800])","Entity[572851] Report(A6000J0[00900])", , , , , , , , , , 
"FILE 300.38 RADIOLOGY ADMIN RECLASS","J", ,"57","545065","231820", ,"54","951897","404849", , , , , , , , , , 
"FILE 300.38 RADIOLOGY ADMIN RECLASS","J", ,"58","406832","173029", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A6000K0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A6000K0[00000])","Entity[572851] Report(A6000K0[00100])", ,"Entity[572851] Report(A6000K0[00300])", ,"Entity[572851] Report(A6000K0[00500])", ,"Entity[572851] Report(A6000K0[00700])", ,"Entity[572851] Report(A6000K0[00900])", , , , , , , , , , 
"FILE 617 PHYSICIANS ON CALL","K", ,"22", ,"35487", ,"90", ,"4029", , , , , , , , , , 
"FILE 617 PHYSICIANS ON CALL","K", , , , , ,"90", ,"4613", , , , , , , , , , 
"FILE 617 PHYSICIANS ON CALL","K", , , , , ,"91", ,"26845", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
